UF,ESTADO,CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,DETALHE_SITUACAO_CAND,NR_PARTIDO,SG_PARTIDO,GENERO,COR_RACA,REELEICAO
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618849,1245,HERIKA ARAÚJO,DEFERIDO,12,PDT,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609273,44700,RENATA LIMA,RENÚNCIA,44,UNIÃO,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610408,7007,MARCELO MOTTA,DEFERIDO,70,AVANTE,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001718022,3311,PASTOR EDILSON SOUZA,DEFERIDO,33,PMN,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609130,4455,DR. VINICIUS CAMPOS,DEFERIDO,44,UNIÃO,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610565,7710,JORGE QUINTINO,DEFERIDO,77,SOLIDARIEDADE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001604069,16066,EULINA COUTINHO ,DEFERIDO,16,PSTU,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618607,1101,DANIELA TORRES,RENÚNCIA,11,PP,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001724261,50350,ZÉ CACHIMBO,DEFERIDO,50,PSOL,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609274,44555,RAFFIÊ,DEFERIDO,44,UNIÃO,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001723515,9090,EDSON BAIXINHO ,INDEFERIDO COM RECURSO,90,PROS,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001722259,35345,VALDIR RAMOS,DEFERIDO,35,PMB,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001595440,10555,LEO FERREIRA,DEFERIDO,10,REPUBLICANOS,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001605482,45555,DEBORA ALMEIDA,DEFERIDO,45,PSDB,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608959,13500,SÉRGIO URT,DEFERIDO,13,PT,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001610748,77177,SANDRA COSTA,DEFERIDO,77,SOLIDARIEDADE,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001610753,77777,LULA CABRAL,INDEFERIDO COM RECURSO,77,SOLIDARIEDADE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001596600,3033,ALBÂNIA ALVES,DEFERIDO,30,NOVO,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618945,12543,AGÁPITO MARTINS,DEFERIDO,12,PDT,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618603,1123,ANDERSON CORREIA,DEFERIDO,11,PP,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620365,40333,CID BEZERRA DE MENEZES,DEFERIDO,40,PSB,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001718658,36113,SANDRO DO CACHORRO QUENTE,DEFERIDO,36,AGIR,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609116,4422,PASTOR JAIRINHO,DEFERIDO,44,UNIÃO,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001729638,4454,JACILDA URQUISA,DEFERIDO,44,UNIÃO,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618399,18618,BRUNO PANTOJA,INDEFERIDO COM RECURSO,18,REDE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609087,2200,PASTOR EURICO,DEFERIDO,22,PL,MASCULINO,BRANCA,S
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609268,44789,MUNDINHO DE TAMANDARÉ,DEFERIDO,44,UNIÃO,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609645,5166,ALLAN LIRA,DEFERIDO,51,PATRIOTA,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001604098,4545,DELEGADO FRANCISCO,DEFERIDO,45,PSDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001610724,77666,TONHO DO POVÃO,DEFERIDO,77,SOLIDARIEDADE,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001722252,35000,ALISSON MADEIRO,INDEFERIDO COM RECURSO,35,PMB,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001613280,1588,SANDRA REGINA,DEFERIDO,15,MDB,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001595424,10022,EDUARDO LACERDA,DEFERIDO,10,REPUBLICANOS,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001724251,18001,DAVID ALVES SIMBORA RENOVAR,DEFERIDO,18,REDE,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609887,51511,DOMINGOS SOLDADOR,DEFERIDO,51,PATRIOTA,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001718654,36112,JÚLIA SÉRVULO,INDEFERIDO,36,AGIR,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001605468,45500,LUCINHA MOTA,DEFERIDO,45,PSDB,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609286,44445,CLAUDIA BARROS,DEFERIDO,44,UNIÃO,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001722272,35111,GEORGE,DEFERIDO,35,PMB,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609651,5102,EZIO FERNANDES,DEFERIDO,51,PATRIOTA,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609125,4432,JAILSON FRANCISCO,DEFERIDO,44,UNIÃO,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001723357,2799,CINESIO ELETRICISTA,DEFERIDO,27,DC,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001613282,1507,SIMONE LINS,DEFERIDO,15,MDB,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001619601,1883, ANGELO BRANCO,DEFERIDO,18,REDE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001722250,35678,BUDA GÁS,INDEFERIDO,35,PMB,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610568,7799,DELEGADO EDUARDO PORTO,RENÚNCIA,77,SOLIDARIEDADE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610407,7030,IRMÃ LENE,DEFERIDO,70,AVANTE,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618613,1166,VÂNIA DE MIGUEL,DEFERIDO,11,PP,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618926,12456,ANDRÉ CARVALHO,DEFERIDO,12,PDT,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001613161,4511,NUNES RAFAEL,DEFERIDO,45,PSDB,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618746,11231,CRHISTIAN LISBOA,RENÚNCIA,11,PP,MASCULINO,PARDA,N
PE,PERNAMBUCO,GOVERNADOR,170001602587,22,ANDERSON FERREIRA,DEFERIDO,22,PL,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609279,44567,PASTOR LUPERCIO,DEFERIDO,44,UNIÃO,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001724259,18456,ZÉ BRAZ COLETIVO AFROS,DEFERIDO,18,REDE,MASCULINO,PRETA,S
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610416,7009,DRA ROBERTA VIRGINIA,DEFERIDO,70,AVANTE,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001604102,4528,LARISSA CALO,DEFERIDO,45,PSDB,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001602582,1991,SARGENTO ASSIS,DEFERIDO,19,PODE,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001619704,22888,IRMÃO ALMIR,DEFERIDO,22,PL,MASCULINO,PARDA,N
PE,PERNAMBUCO,SENADOR,170001618130,130,TERESA LEITÃO,DEFERIDO,13,PT,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620372,40232,TONY GEL,DEFERIDO,40,PSB,MASCULINO,BRANCA,S
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001595427,10222,DIDO VIEIRA,DEFERIDO,10,REPUBLICANOS,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610418,7044,VERA FIGUEIREDO,DEFERIDO,70,AVANTE,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001613422,70744,SERGIO BRITES,DEFERIDO,70,AVANTE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609121,4499,DÉBORAH CARVALHO,DEFERIDO,44,UNIÃO,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618413,18222,MÔNICA COLETIVO ARCO-ÍRIS,DEFERIDO,18,REDE,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001718760,3611,PAULO SULIVAN,DEFERIDO,36,AGIR,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620376,40789,FRANCE HACKER,DEFERIDO,40,PSB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001735574,44944,BELO BELO,DEFERIDO,44,UNIÃO,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609884,51500,GABRIEL MENEZES,DEFERIDO,51,PATRIOTA,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618760,11500,CARLINHOS DA GENTE,DEFERIDO,11,PP,MASCULINO,PRETA,N
