SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
AC;ACRE;DEPUTADO ESTADUAL;10001723792;45008;APARECIDA CIDINHA;DEFERIDO;45;PSDB;FEMININO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001601539;5500;MOISES MEDEIROS;DEFERIDO;55;PSD;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001642335;1569;HAMILTON LIDERANÇA;DEFERIDO;15;MDB;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001606131;9099;WILLINGTON (WA);DEFERIDO;90;PROS;MASCULINO;PRETA;N
AC;ACRE;DEPUTADO ESTADUAL;10001623539;44007;MINEIRINHO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001635543;10333;GEANA FERREIRA;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001732898;15001;KELLY CRISTINA;DEFERIDO;15;MDB;FEMININO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001619996;1044;CORONEL EUDEMIR;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001606513;36500;MARIA EULÁLIA;DEFERIDO;36;AGIR;FEMININO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643428;11122;NICOLAU JUNIOR;DEFERIDO;11;PP;MASCULINO;PARDA;S
AC;ACRE;DEPUTADO ESTADUAL;10001635778;13123;DANIEL ZEN;DEFERIDO;13;PT;MASCULINO;BRANCA;S
AC;ACRE;DEPUTADO FEDERAL;10001612490;4401;LUIZ ANUTE;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001613551;1312;HENRY NOGUEIRA;DEFERIDO;13;PT;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001601427;55777;PABLO BREGENSE;DEFERIDO;55;PSD;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001716343;4522;SGT LEORNE;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001621650;1111;GERLEN DINIZ;DEFERIDO;11;PP;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO FEDERAL;10001716345;4515;MARCIA MARIA;DEFERIDO;45;PSDB;FEMININO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001635537;10555;CLODOALDO RODRIGUES;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
AC;ACRE;VICE-GOVERNADOR;10001639520;15;FERNANDO ZAMORA;DEFERIDO;28;PRTB;MASCULINO;NÃO INFORMADO;N
AC;ACRE;DEPUTADO ESTADUAL;10001655356;33242;PR ANTONIO ALMEIDA;DEFERIDO;33;PMN;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001635527;10822;ALEXANDRE FERNANDES;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001649308;22190;IGOR OLIVEIRA;INDEFERIDO COM RECURSO;22;PL;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001623548;44111;AUGUSTO;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001614241;3633;ZÉ CARLOS JORNALISTA;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001642331;15111;ESPERIDIÃO MENEZES JUNIOR;DEFERIDO;15;MDB;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001649310;22223;AFONSO FERNANDES;DEFERIDO;22;PL;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001649330;22345;ZÉ LOPES;DEFERIDO;22;PL;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643845;77121;MARCELO BRILHANTE;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001622769;12555;DR. MICHELLE MELO;DEFERIDO;12;PDT;FEMININO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001606495;36300;DECA PINHEIRO;DEFERIDO;36;AGIR;FEMININO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001635765;43700;ANGELINO DO PANDEIRO;DEFERIDO;43;PV;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO FEDERAL;10001723627;2055;MARQUINHOS GUERREIRO;RENÚNCIA;20;PSC;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001643315;40222;ADAILTON CRUZ;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001723807;45123;RUDILEI ESTRELA ;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
AC;ACRE;2º SUPLENTE;10001643445;400;CORONEL ANASTÁCIO;DEFERIDO;40;PSB;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001623554;44700;DRA CAROL;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001723797;23789;ADENILSON DUAM;DEFERIDO;23;CIDADANIA;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001622761;12123;TCHÊ;DEFERIDO;12;PDT;MASCULINO;BRANCA;S
AC;ACRE;DEPUTADO ESTADUAL;10001622779;12222;TOM SÉRGIO;DEFERIDO;12;PDT;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001606203;90700;MARIA EUNICE;DEFERIDO;90;PROS;FEMININO;NÃO INFORMADO;N
AC;ACRE;SENADOR;10001649256;199;NEY AMORIM;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
AC;ACRE;DEPUTADO ESTADUAL;10001635775;65654;WAL;DEFERIDO;65;PC do B;FEMININO;PRETA;N
AC;ACRE;DEPUTADO ESTADUAL;10001606218;90444;BRIGIDO OLIVEIRA;DEFERIDO;90;PROS;MASCULINO;PARDA;N
AC;ACRE;GOVERNADOR;10001606307;36;DAVID HALL;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
AC;ACRE;DEPUTADO ESTADUAL;10001622778;12247;ROGGER WINS;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
