SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
AL;ALAGOAS;DEPUTADO FEDERAL;20001605781;7777;MONICA CARVALHO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001652080;55111;BETO DA FARMÁCIA;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001621796;40111;PEDOCA;DEFERIDO;40;PSB;MASCULINO;PRETA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001636049;11321;PLINIO SAMPAIO;DEFERIDO;11;PP;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001725822;9055;RUANA BRENDA;INDEFERIDO COM RECURSO;90;PROS;FEMININO;BRANCA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001728453;43222;MARCOS FERREIRA;DEFERIDO;43;PV;MASCULINO;PARDA;N
AL;ALAGOAS;1º SUPLENTE;20001738742;900;ADRIANO SANTOS;PENDENTE DE JULGAMENTO;90;PROS;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652453;1014;JÚNIOR DÂMASO;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
AL;ALAGOAS;DEPUTADO FEDERAL;20001652749;4010;JÚNIOR LISBOA;DEFERIDO;40;PSB;MASCULINO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001621804;40140;MIRELLA CALDAS;DEFERIDO;40;PSB;FEMININO;PARDA;N
AL;ALAGOAS;DEPUTADO ESTADUAL;20001698407;12444;ROBERTA CAVALCANTE;DEFERIDO;12;PDT;FEMININO;BRANCA;N
AL;ALAGOAS;VICE-GOVERNADOR;20001610328;50;ELIANE SILVA;DEFERIDO;50;PSOL;FEMININO;PRETA;N
