SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
AM;AMAZONAS;DEPUTADO ESTADUAL;40001618389;12112;PAULO SEABRA;DEFERIDO;12;PDT;MASCULINO;PARDA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001620699;51022;SARGENTO COSTA;DEFERIDO;51;PATRIOTA;FEMININO;PARDA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001600306;35777;LUIZ MARQUES;DEFERIDO;35;PMB;MASCULINO;BRANCA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001671686;27123;JEOVA DE JESUS;DEFERIDO;27;DC;MASCULINO;PARDA;N
AM;AMAZONAS;DEPUTADO FEDERAL;40001609376;1000;ADAIL FILHO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
AM;AMAZONAS;DEPUTADO FEDERAL;40001671796;2777;CELSO CORSINO;DEFERIDO;27;DC;MASCULINO;PARDA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001612925;15500;ARISTIDES QUEIROZ;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001718581;36123;PASTOR SABÁ PENEDO;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
AM;AMAZONAS;DEPUTADO FEDERAL;40001609255;1522;DALVA MORAIS;DEFERIDO;15;MDB;FEMININO;PARDA;N
AM;AMAZONAS;DEPUTADO FEDERAL;40001612955;2244;RODRIGO SÁ;DEFERIDO;22;PL;MASCULINO;BRANCA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001618672;20190;PROFESSORA EDITH FALCÃO;DEFERIDO;20;PSC;FEMININO;BRANCA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001618673;20999;DR MICHEL TORRES;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001612919;15123;JESUS ALVES;DEFERIDO;15;MDB;MASCULINO;PARDA;N
AM;AMAZONAS;DEPUTADO ESTADUAL;40001650488;45000;VICTOR SANTOS;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
