SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
AP;AMAPÁ;DEPUTADO ESTADUAL;30001607447;43000;CELSO FIGUEIREDO;DEFERIDO;43;PV;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001601839;1280;PROMOTOR ADILSON GARCIA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001604017;12122;JORGE SOUZA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001695670;28778;FLAVIA FARIAS;DEFERIDO;28;PRTB;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001607346;1300;LOURIVAL FREITAS;INDEFERIDO COM RECURSO;13;PT;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001640010;23222;CESAR AGUIAR;RENÚNCIA;23;CIDADANIA;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001606527;44044;OFIRNEY SADALA;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001600718;11555;RILDO OLIVEIRA;DEFERIDO;11;PP;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001607453;65123;LAU MONTEIRO;DEFERIDO;65;PC do B;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001636457;77333;PROF RONILDA BALIEIRO DO CCA ;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001607334;2011;BETO SILVA OUROMINAS;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001648129;22147;GLÉCIA;DEFERIDO;22;PL;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001595392;10012;LEILA VIANA;DEFERIDO;10;REPUBLICANOS;FEMININO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001643392;14900;CALEBIO FERREIRA;DEFERIDO;14;PTB;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001608275;40000;PROF. LUIZ;DEFERIDO;40;PSB;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001604784;18444;PAULO CUNHA COLETIVO EDUCACAO;DEFERIDO;18;REDE;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001721030;70789;APARECIDA SALOMÃO;DEFERIDO;70;AVANTE;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001667196;2880;MARLENE OLIVEIRA;DEFERIDO;28;PRTB;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001636452;77765;TRINDADE DA DISTRIBUIDORA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001636455;77123;JACK JK;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;S
AP;AMAPÁ;DEPUTADO ESTADUAL;30001721025;70123;CLAUDIOMAR ROSA;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001605441;15995;ELISANGELA BARATA;RENÚNCIA;15;MDB;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001604014;12456;ALDILENE SOUZA;DEFERIDO;12;PDT;FEMININO;BRANCA;S
AP;AMAPÁ;DEPUTADO ESTADUAL;30001636450;77882;ELZA LOPES ;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001639701;15111;SCHARLLON;RENÚNCIA;15;MDB;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001619876;4512;RUZIVAN;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001619883;2347;DR LUIZ OTAVIO;RENÚNCIA;23;CIDADANIA;MASCULINO;PARDA;N
AP;AMAPÁ;2º SUPLENTE;30001619821;151;GONÇALO BORGES;RENÚNCIA;15;MDB;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001695668;28288;PR. CARLOS COSTA;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001606531;44789;DIELSON;DEFERIDO;44;UNIÃO;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001604796;18456;HELINHO CASTRO;DEFERIDO;18;REDE;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001605450;1516;DOUTORA IVNA;DEFERIDO;15;MDB;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001695673;28369;ANAB MONTEIRO;DEFERIDO;28;PRTB;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001604018;12123;DELEGADO INACIO;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001636458;77380;ROCHA DO SUCATÃO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001695672;28199;CLAU ALVES;DEFERIDO;28;PRTB;FEMININO;PRETA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001607350;1313;DALVA 1313;DEFERIDO;13;PT;FEMININO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001739333;15152;PROF. ELIANE MÃEZONA;PENDENTE DE JULGAMENTO;15;MDB;FEMININO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001595405;10221;ELKE KARINA;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001605433;15555;RUI REGIS;DEFERIDO;15;MDB;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001615056;55222;TENENTE AURIVAM;DEFERIDO;55;PSD;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001619665;19888;EDY VERDADE;DEFERIDO;19;PODE;MASCULINO;PARDA;N
AP;AMAPÁ;GOVERNADOR;30001718032;29;JAIRO PALHETA;INDEFERIDO COM RECURSO;29;PCO;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001648133;22456;COELHO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001619653;19444;DAQUEO RIBEIRO;DEFERIDO;19;PODE;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001604780;18180;THAWANNA;DEFERIDO;18;REDE;FEMININO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001595391;10218;ICARO MACIEL;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001608296;20400;SOCORRO BATISTA;DEFERIDO;20;PSC;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001600724;11123;ALEXANDRE AZEVEDO;DEFERIDO;11;PP;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001605432;15222;MAX DA AABB;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
AP;AMAPÁ;DEPUTADO ESTADUAL;30001607448;13113;GEOVANE GRANGEIRO;DEFERIDO;13;PT;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001640521;5569;PASTORA BERENICE LAZAMÉ;DEFERIDO;55;PSD;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001648127;22193;R NELSON;DEFERIDO;22;PL;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001606528;44015;PATRICIA CARDOSO;DEFERIDO;44;UNIÃO;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001595542;1080;CAETANO BENTES;DEFERIDO;10;REPUBLICANOS;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001611416;1400;PATRICIANA GUIMARAES;DEFERIDO;14;PTB;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001667199;2812;JU DE JESUS;DEFERIDO;28;PRTB;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001619878;4569;CABRAL TORK;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001640518;5522;GEOVANA CP;DEFERIDO;55;PSD;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001636453;77888;JOELMA MELO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001611388;1999;WALDEIR;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001605443;15123;DIOGO SENIOR;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
AP;AMAPÁ;DEPUTADO ESTADUAL;30001619652;19119;BILL CLINTON DO AMAPÁ;DEFERIDO;19;PODE;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001606515;44300;AMANDA BENTES;DEFERIDO;44;UNIÃO;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001643384;14333;IVAN CESAR;RENÚNCIA;14;PTB;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001600717;11100;ENFERMEIRA MILENA;DEFERIDO;11;PP;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001739340;15789;DÉBORA BORGES;PENDENTE DE JULGAMENTO;15;MDB;FEMININO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001712958;3622;LEILA SILVA;INDEFERIDO COM RECURSO;36;AGIR;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001600175;1155;MICHEL DA SANAUTO;DEFERIDO;11;PP;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001608305;20777;PR SAMUEL JARDIM;DEFERIDO;20;PSC;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001721036;70000;AMANDA GUILHERME;DEFERIDO;70;AVANTE;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001600171;1177;SILVANA VEDOVELLI;DEFERIDO;11;PP;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001648134;22369;KAKÁ BARBOSA;DEFERIDO;22;PL;MASCULINO;BRANCA;S
AP;AMAPÁ;DEPUTADO ESTADUAL;30001605442;15000;PAULINHO RAMOS;DEFERIDO;15;MDB;MASCULINO;PARDA;S
AP;AMAPÁ;DEPUTADO ESTADUAL;30001615045;55007;JOÃO SORRISÃO;DEFERIDO;55;PSD;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001601832;1212;JOSENILDO;DEFERIDO;12;PDT;MASCULINO;PARDA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001605454;1533;ALUIZO D CARVALHO;DEFERIDO;15;MDB;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001595396;10147;PASTOR OLIVEIRA;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;S
AP;AMAPÁ;VICE-GOVERNADOR;30001718031;29;ELIANA BRANDÃO;INDEFERIDO COM RECURSO;29;PCO;FEMININO;BRANCA;N
AP;AMAPÁ;DEPUTADO FEDERAL;30001611390;1910;DR SATH;DEFERIDO;19;PODE;MASCULINO;PRETA;N
AP;AMAPÁ;DEPUTADO ESTADUAL;30001608304;20800;RENIVALDO COSTA;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
