SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
BA;BAHIA;DEPUTADO FEDERAL;50001615797;5150;SARGENTO DAMASCENO;DEFERIDO;51;PATRIOTA;MASCULINO;PRETA;N
BA;BAHIA;DEPUTADO FEDERAL;50001643034;3578;WERLEY REIS;DEFERIDO;35;PMB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO FEDERAL;50001609361;2234;TONY NETO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
BA;BAHIA;DEPUTADO FEDERAL;50001643035;3536;MESTRE NILDO MORGADO;RENÚNCIA;35;PMB;MASCULINO;PRETA;N
BA;BAHIA;DEPUTADO FEDERAL;50001600782;2044;LUIZINHO SOBRAL;DEFERIDO;20;PSC;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001615750;36555;THAISA CARNEIRO;DEFERIDO;36;AGIR;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001620011;77773;LUCAS BOCÃO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
BA;BAHIA;DEPUTADO FEDERAL;50001714246;9084;RAFAEL BRUNO;INDEFERIDO;90;PROS;MASCULINO;BRANCA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001696440;14110;PASTOR SERGIO SERTAO;DEFERIDO;14;PTB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001647078;11811;JOÃOZINHO DOS 8 BAIXOS;DEFERIDO;11;PP;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001648283;44255;ANTONIA DA CAIXA D AGUA;DEFERIDO;44;UNIÃO;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO FEDERAL;50001600788;2055;CARLINHOS GOMES;INDEFERIDO;20;PSC;MASCULINO;PRETA;N
BA;BAHIA;DEPUTADO FEDERAL;50001714236;9018;OSMAR JAMBEIRO;INDEFERIDO;90;PROS;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001613918;45105;PASTORA TELMA VILAS BOAS ;DEFERIDO;45;PSDB;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO FEDERAL;50001602968;7025;VICK SANTOS;DEFERIDO;70;AVANTE;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO FEDERAL;50001606023;4013;AROLDO PINTO;DEFERIDO;40;PSB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO FEDERAL;50001634597;4448;ELADIO BARRETO;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
BA;BAHIA;VICE-GOVERNADOR;50001603639;13;GERALDO JÚNIOR;DEFERIDO;15;MDB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001723593;27070;ANTONIO DO SALGADINHO;DEFERIDO;27;DC;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001604607;20144;DANI SIMÕES;DEFERIDO;20;PSC;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO FEDERAL;50001645907;1400;JORGE VIANA;RENÚNCIA;14;PTB;MASCULINO;BRANCA;N
BA;BAHIA;DEPUTADO FEDERAL;50001614053;1545;ROBSON JESUS;DEFERIDO;15;MDB;MASCULINO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001620939;12700;GARÇON FLÁVIO;DEFERIDO;12;PDT;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001597088;33993;ANA GUERREIRA;DEFERIDO;33;PMN;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001609472;22900;PAULO DA GELADEIRA;INDEFERIDO;22;PL;MASCULINO;BRANCA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001620007;77100;PASTOR LUCIANO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
BA;BAHIA;DEPUTADO FEDERAL;50001614029;1544;TETEIA DO JEGUE;DEFERIDO;15;MDB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO FEDERAL;50001614110;2011;PROFESSOR CABO SOARES;DEFERIDO;20;PSC;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO FEDERAL;50001643030;3502;MAURICIO GOHMES;DEFERIDO;35;PMB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001606421;13050;RADIOVALDO;DEFERIDO;13;PT;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO FEDERAL;50001613561;4570;ATANÁZIO JULIO;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001605970;40040;DRA FABIOLA MANSUR;DEFERIDO;40;PSB;FEMININO;BRANCA;S
BA;BAHIA;DEPUTADO FEDERAL;50001619856;1030;ALMIR BARRETO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001606412;65555;BRANCA PATRICIA;DEFERIDO;65;PC do B;FEMININO;BRANCA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001604571;20800;RICARDO ALMEIDA;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001606422;65123;AJAX TAVARES;DEFERIDO;65;PC do B;MASCULINO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001609480;22300;ZENAIDE MIRANDA;DEFERIDO;22;PL;FEMININO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001673155;28456;ROQUE PEREIRA;DEFERIDO;28;PRTB;MASCULINO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001620944;12300;REGIANE DA SAUDE;DEFERIDO;12;PDT;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001648313;44123;LUCIANO SIMÕES;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;S
BA;BAHIA;DEPUTADO ESTADUAL;50001610372;51234;JAMISSON DA EMPLACADORA;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001600617;50777;NEGA VAN PSOL;DEFERIDO;50;PSOL;FEMININO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001606397;13613;BIRA COROA;DEFERIDO;13;PT;MASCULINO;PRETA;S
BA;BAHIA;DEPUTADO ESTADUAL;50001600638;50880;MAURÍCIO CITO;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001606429;65444;CACIQUE ARUÃ;DEFERIDO;65;PC do B;MASCULINO;INDÍGENA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001613913;45100;PABLO ROBERTO ;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
BA;BAHIA;DEPUTADO ESTADUAL;50001648285;44077;ALEMÃO DA BARBEARIA;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
