SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
CE;CEARÁ;DEPUTADO FEDERAL;60001619095;9010;NEGUINHO DOS OLHOS CASTANHOS;INDEFERIDO COM RECURSO;90;PROS;MASCULINO;PRETA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001643131;1551;GISELE BRAGA;RENÚNCIA;15;MDB;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608853;1010;RONALDO MARTINS;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608827;10122;APÓSTOLO CARLOS BRUNILDO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001634404;70033;VALDINHA HOLANDA;RENÚNCIA;70;AVANTE;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001721686;90901;ROMULO TAVARES;DEFERIDO;90;PROS;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001619152;5110;ENGENHEIRO CLÁUDIO PATRIOTA;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001603470;1221;MAURO FILHO;DEFERIDO;12;PDT;MASCULINO;PARDA;S
CE;CEARÁ;DEPUTADO ESTADUAL;60001608945;44999;CANDIDO ALEXANDRINO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001614165;2200;DRA. MAYRA PINHEIRO;DEFERIDO;22;PL;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001669687;2929;LINO ALVES ;DEFERIDO;29;PCO;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001603548;12312;STELIO FROTA;RENÚNCIA;12;PDT;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001643111;1525;MARCIO BATISTA;DEFERIDO;15;MDB;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001712969;3636;VELHO DO RIO;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001633780;1923;FELIPE MENEZES;DEFERIDO;19;PODE;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001603513;40123;RICARDO JORGE LIMA;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608839;10220;ALEXANDRE MAFRA;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001601197;5575;ISABEL BRAGA;DEFERIDO;55;PSD;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001645843;2010;JESSICA FREITAS;DEFERIDO;20;PSC;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001613075;5032;CLÁUDIO JÚNIOR;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001603549;12684;HILMAR ALVES;DEFERIDO;12;PDT;MASCULINO;PRETA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001713038;36666;PAI GERSON;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608926;44101;IVAN CABELEIREIRO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001634094;7012;LURDENIS VIEIRA;DEFERIDO;70;AVANTE;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001613528;55860;POETA PEDRO SAMPAIO;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001634089;7060;HERMANO GOMES;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001636105;4512;SARGENTO GERSON;INDEFERIDO;45;PSDB;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001633832;22800;FRANK FERREIRA;RENÚNCIA;22;PL;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001619184;11478;JOSÉ WILSON CHAVES;RENÚNCIA;11;PP;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001646074;33900;DR LEONARDA ANDRADE;DEFERIDO;33;PMN;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001645990;3550;PARENTE;DEFERIDO;35;PMB;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001633796;22369;ROBERTO AQUINO;INDEFERIDO COM RECURSO;22;PL;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001614168;2299;MATHEUS NORONHA;DEFERIDO;22;PL;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001603497;40864;JOUSE PAIVA;INDEFERIDO;40;PSB;FEMININO;PRETA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001613091;50250;IZAURINHA;DEFERIDO;50;PSOL;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608912;44244;JULIANA DUARTE;DEFERIDO;44;UNIÃO;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001668700;14200;DAMIÃO VASCONCELO;DEFERIDO;14;PTB;MASCULINO;PARDA;N
CE;CEARÁ;1º SUPLENTE;60001723705;555;MONICA AGUIAR;DEFERIDO;12;PDT;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001613102;50222;HELENA ALVES;DEFERIDO;50;PSOL;FEMININO;PRETA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608877;4420;PROFESSORA IZAURA;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608818;10007;VILMAR JÚNIOR;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
CE;CEARÁ;GOVERNADOR;60001633585;13;ELMANO DE FREITAS;DEFERIDO;13;PT;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001692742;3389;SUDERLAN CASTRO;DEFERIDO;33;PMN;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001668467;1477;CARLOS REBOUÇAS;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001727604;45700;VILMAR BATISTA;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001619136;1326;CELSO FARIAS;DEFERIDO;13;PT;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001634389;70444;ANA CLEIDE;DEFERIDO;70;AVANTE;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001613532;55111;SÁVIO PONTES;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001723724;45333;DIEGO BARRETO;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001633809;22077;ANDRÉIA MOURA;PEDIDO NÃO CONHECIDO;22;PL;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001723393;4500;ANÍBAL GOMES;RENÚNCIA;45;PSDB;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608861;1011;STEFANI RODRIGUES;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001634433;70800;ESTRELA FAMILIA QUE BRILHA;DEFERIDO;70;AVANTE;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001730658;70027;MARGARIDA TORRES;DEFERIDO;70;AVANTE;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001603512;40888;PAULO PROTÁSIO;DEFERIDO;40;PSB;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001634106;7011;DR MARCOS;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001634419;70412;MARIA JACKELINE LIMA MENDES;DEFERIDO;70;AVANTE;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001646049;33145;DR DANIEL VIANA;DEFERIDO;33;PMN;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001732742;23000;CLAUDENOR VIEIRA;DEFERIDO;23;CIDADANIA;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001613107;50505;JAMYLLE MARTINS;DEFERIDO;50;PSOL;FEMININO;PRETA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608895;4441;HELIO FILHO;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001633771;1973;CHICO PEZÃO CAUCAIA;DEFERIDO;19;PODE;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001619153;5120;ANA MARTINS;DEFERIDO;51;PATRIOTA;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001712965;3612;IVAN CARNEIRO;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608913;44774;ADRIANNO IMPERADOR;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608896;4412;PASTOR PEDRO RIBEIRO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001619094;9017;SUZANE VIANA;DEFERIDO;90;PROS;FEMININO;PRETA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608890;4444;HEITOR FREIRE;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;S
CE;CEARÁ;DEPUTADO ESTADUAL;60001646058;33699;BRAULIO MELO;DEFERIDO;33;PMN;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001633635;13234;GUILHERME SAMPAIO;DEFERIDO;13;PT;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001634393;70090;PAULO BERNARDO;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001619144;5133;NIERTON GUERRA;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001619148;5144;ERACISO DE OLIVEIRA;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001636108;4564;ANA VALERIA;INDEFERIDO;45;PSDB;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001646065;33882;ANGÉLICA DE HOLANDA;DEFERIDO;33;PMN;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001723723;45300;CÔNSUL DO POVO;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001646044;33225;TIA HILDA MACAMBIRA;DEFERIDO;33;PMN;FEMININO;PRETA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001635799;15789;CLÁUDIO MENEZES;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001633672;65700;ALYSSON AGUIAR;DEFERIDO;65;PC do B;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001713026;36600;ANDREA COLETIVO VOZ DO SOCIAL;DEFERIDO;36;AGIR;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001603483;1251;PEDRO ARNON BEZERRA;RENÚNCIA;12;PDT;MASCULINO;BRANCA;S
CE;CEARÁ;DEPUTADO ESTADUAL;60001634415;70000;TAM DE OLIVEIRA;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608842;10001;JUAN BRILHANTE;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001712967;3610;FÁTIMA MARA;DEFERIDO;36;AGIR;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608857;1055;MANUH SILVA;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001712977;3660;OZYLENE;DEFERIDO;36;AGIR;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001603500;40171;CEGUIM DO AMENDOIM;INDEFERIDO;40;PSB;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001633786;1901;CAPITÃO FARIAS;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001645827;2044;GENIVAL SOLAR;DEFERIDO;20;PSC;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001636447;45413;ORTUAM FIDELES;INDEFERIDO;45;PSDB;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001619131;4343;MARCELO SILVA;DEFERIDO;43;PV;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001712971;3600;CAMILLA LEITE;DEFERIDO;36;AGIR;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001613086;50555;INACIO OLIVEIRA;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001636425;23313;FABIOLA DA RUA DA VALA;INDEFERIDO;23;CIDADANIA;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001643121;1516;ABRAÃO LUCAS ;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001613068;1855;CLEDMILSON;DEFERIDO;18;REDE;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001645829;2080;SANDRA FREITAS;DEFERIDO;20;PSC;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608933;44565;NAUGUSTO CABELEIREIRO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001603458;4080;CICERO MARCIO;DEFERIDO;40;PSB;MASCULINO;PRETA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608820;10124;DUQUINHA;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;S
CE;CEARÁ;DEPUTADO FEDERAL;60001613076;5060;CRISTIANO ALMEIDA;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001603503;40277;GRACINHA RODRIGUES;DEFERIDO;40;PSB;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001636111;4511;TICA FREIRE;INDEFERIDO COM RECURSO;45;PSDB;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001619108;90180;FABIO MARANGONI;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001646069;33890;PROFESSOR CLAUDIO CHANDELLE;DEFERIDO;33;PMN;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001727605;45456;ADRIA;DEFERIDO;45;PSDB;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001608907;44144;JULIANA MIRANDA;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001619096;90369;DIVA LOPES;DEFERIDO;90;PROS;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001634085;7033;PASTOR AIRTON SILVA;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001608849;1099;RAMSÉS SERRA;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001713042;36777;EDGAR BARBOSA;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001723719;23190;TENENTE DANTAS;INDEFERIDO COM RECURSO;23;CIDADANIA;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001601180;5578;JAQUELINE DANTAS;DEFERIDO;55;PSD;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001723398;4566;NATY HERCULANO;RENÚNCIA;45;PSDB;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO FEDERAL;60001645841;2022;DRA CINTHIA BELINO;DEFERIDO;20;PSC;FEMININO;BRANCA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001635801;15145;CAROL RAMALHO;DEFERIDO;15;MDB;FEMININO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001633827;22567;VANDECI DANTAS;DEFERIDO;22;PL;MASCULINO;PARDA;N
CE;CEARÁ;DEPUTADO ESTADUAL;60001619101;90887;JAYR STARK;DEFERIDO;90;PROS;MASCULINO;PRETA;N
