SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001600824;33033;ÁKILLA MARINHO;DEFERIDO;33;PMN;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001723615;20221;DR. AUGUSTO JUNCAL - GUTE;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;VICE-GOVERNADOR;70001653884;27;PASTORA SUELENE;DEFERIDO;27;DC;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001666660;14111;ADELANE MACIEL;DEFERIDO;14;PTB;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001620304;36136;ALEXANDRE YANEZ;DEFERIDO;36;AGIR;MASCULINO;NÃO INFORMADO;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001650513;1567;CAROL MOURÃO DOS ANIMAIS;DEFERIDO;15;MDB;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001614216;90999;ANGELA TEIXEIRA;DEFERIDO;90;PROS;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;1º SUPLENTE;70001732492;456;PROFESSORA JÔ LIRA;RENÚNCIA;45;PSDB;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001607815;3326;PROFESSOR NIVALDO;DEFERIDO;33;PMN;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001636065;40707;BRUNO GURGEL;DEFERIDO;40;PSB;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001600828;33222;SERGINHO DAMACENO;DEFERIDO;33;PMN;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001636071;40400;RODRIGO DIAS;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001621118;1211;VANDER LOPES;DEFERIDO;12;PDT;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001596078;43061;MARIANA ALMADA;DEFERIDO;43;PV;FEMININO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001644007;77677;ANGELINA JOLIE;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;SENADOR;70001666946;142;MARCELO HIPÓLITO;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001644006;77193;WAGNER GONÇALVES - JACA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001712793;51221;DR ROGÉRIO SOLON;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001636076;40444;ESTÊVÃO ROLIM;DEFERIDO;40;PSB;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001609147;44100;PROFESSOR RODRIGÃO;DEFERIDO;44;UNIÃO;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001615672;1033;COMANDANTE ABOUD;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001654338;27111;SOLANGE HOLANDA;DEFERIDO;27;DC;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001600906;3001;NEY FERREIRA;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001611522;70369;MC BANDIDA VALÉRIA SANTANA;DEFERIDO;70;AVANTE;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001643999;77333;RUBY DA SAÚDE;INDEFERIDO COM RECURSO;77;SOLIDARIEDADE;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001621122;1223;ROBERTA CAMARGO;DEFERIDO;12;PDT;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001643998;77000;MATEUS MOURA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001614230;9000;RIVÂNIA DA AIDÊ;RENÚNCIA;90;PROS;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001611508;70456;DIVINO ROSA;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001650381;1161;CARINA SALES;DEFERIDO;11;PP;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001611507;70700;JUNIOR CAPÃO COMPRIDO;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001621235;1920;GENERAL PAULO CHAGAS;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001608443;4422;FADI FARAJ;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001614229;9010;DRA. MAJU MONTEIRO;DEFERIDO;90;PROS;FEMININO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001616725;10223;SARGENTO PAULO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001621135;19200;ADÉLIA FREJAT;RENÚNCIA;19;PODE;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001737106;9000;MÁRCIA HOLANDA;PENDENTE DE JULGAMENTO;90;PROS;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001650803;15777;TELMA RUFINO;DEFERIDO;15;MDB;FEMININO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001611667;3000;PAULO ROQUE;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001654539;55190;ROBERTSON MEDEIROS;INDEFERIDO COM RECURSO;55;PSD;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001616709;10010;ROGÉRIO PADILHA;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001636067;40234;JOÃO PAULO FALANDO;DEFERIDO;40;PSB;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001612579;28123;SANDRA DO AGRO;DEFERIDO;28;PRTB;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001725969;35190;LUCIANO LUCAS;DEFERIDO;35;PMB;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001712951;5118;ÍNDIA PATIRA;DEFERIDO;51;PATRIOTA;FEMININO;INDÍGENA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001621138;19156;SILVÂNIA LEAL;DEFERIDO;19;PODE;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001713119;23987;MARCOS SABÓIA;DEFERIDO;23;CIDADANIA;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001615884;22100;ILDA PELIZ;DEFERIDO;22;PL;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001608448;4433;ELISEU KADESH;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001723618;20335;PROFESSOR NINÃ;DEFERIDO;20;PSC;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001620310;36888;DRA SULA;DEFERIDO;36;AGIR;FEMININO;NÃO INFORMADO;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001600823;33400;LULO SENA;DEFERIDO;33;PMN;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001636083;40022;LUCAS LUZ;DEFERIDO;40;PSB;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001650795;15504;NEIDE MESSIAS;DEFERIDO;15;MDB;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;2º SUPLENTE;70001666948;142;PROFESSOR RACHID;DEFERIDO;14;PTB;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001650215;11444;IRIS;DEFERIDO;11;PP;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001732347;1979;PAULO LIMA;DEFERIDO;19;PODE;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001723755;2099;SARGENTO PAULO ROBERTO;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001713112;23333;PROFESSORA DEUSINHA;DEFERIDO;23;CIDADANIA;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001616718;10022;KELLY BOLSONARO;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;GOVERNADOR;70001615674;12;LEILA DO VÔLEI;DEFERIDO;12;PDT;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001639631;7733;FERNANDO SOUZA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001611517;70269;MARIANA SIQUEIRA SURDA;DEFERIDO;70;AVANTE;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001601760;18088;VANESSA DE SALLES E RAÍZES;DEFERIDO;18;REDE;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001666657;14023;KALANGO CORREDOR;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001600886;30100;JOÃO D ARC ;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;VICE-GOVERNADOR;70001601116;50;TONI DE CASTRO;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001712791;51031;MEIRE;INDEFERIDO COM RECURSO;51;PATRIOTA;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001723610;20017;HALAND GUILARDE;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001612572;28000;JOSÉ LUIZ RAVENA;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001650788;15678;WASHINGTON MESQUITA;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001654166;2733;CRISTIAN LIMA;DEFERIDO;27;DC;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001712802;51001;GIZELE CARVALHO;INDEFERIDO COM RECURSO;51;PATRIOTA;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001726492;3310;SARGENTO MONICA VITORIA;DEFERIDO;33;PMN;FEMININO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001653691;35353;BRUNO NOVAIS;DEFERIDO;35;PMB;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001609155;44123;ALEX CARREIRO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001612573;28022;JOAQUIM GOMES;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001601777;18181;DRA ENILDE NERES;DEFERIDO;18;REDE;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001603782;50160;ÂNGELO BALBINO;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001650209;11022;ANA MARIA;DEFERIDO;11;PP;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001723598;20222;MÁRCIA MAIA;DEFERIDO;20;PSC;FEMININO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001649960;12127;DIL EMANUEL;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001713682;90222;BERINALDO PONTES;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001614210;90022;HENRIQUE RESENDE;RENÚNCIA;90;PROS;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001614219;90000;SILVESTRE;DEFERIDO;90;PROS;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001613184;3699;BRIGADEIRO ATILA MAIA;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001600836;33777;GLAUCIO CUNHA;DEFERIDO;33;PMN;MASCULINO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001601745;5099;MANDATO COLETIVO BEM VIVER THI;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001733522;40013;PROFESSORA JANA ALMEIDA;DEFERIDO;40;PSB;FEMININO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001735542;27017;LUCIMÁRIO;DEFERIDO;27;DC;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001712792;51051;PROFESSORA MARIA ANTÔNIA;INDEFERIDO COM RECURSO;51;PATRIOTA;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001607810;3333;ADERIVALDO CARDOSO;DEFERIDO;33;PMN;MASCULINO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001730625;2223;ANGÉLICA KATE MARRONE;DEFERIDO;22;PL;FEMININO;PRETA;N
DF;DISTRITO FEDERAL;DEPUTADO DISTRITAL;70001600829;33156;SIMONE MAGALHÃES;DEFERIDO;33;PMN;FEMININO;PARDA;N
DF;DISTRITO FEDERAL;DEPUTADO FEDERAL;70001601743;5000;DANI SANCHEZ;DEFERIDO;50;PSOL;FEMININO;PRETA;N
