SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001619790;27806;DUDU DO ONIBUS;DEFERIDO;27;DC;MASCULINO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001720061;12181;JONH LENNO;DEFERIDO;12;PDT;MASCULINO;PRETA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001723160;28973;NILZA SOARES;INDEFERIDO;28;PRTB;FEMININO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001611202;18444;VALDERES ALVES;DEFERIDO;18;REDE;MASCULINO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001609630;19222;RAFAEL OTTAIANO;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
ES;ESPÍRITO SANTO;GOVERNADOR;80001606304;30;ARIDELMO ;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001718147;14666;LAILA ZANETTI;DEFERIDO;14;PTB;FEMININO;PRETA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001602754;45233;MAURO ANGELO;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001602771;45333;FERNANDA BRAUMER;DEFERIDO;45;PSDB;FEMININO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001720062;12333;ADILSON ESPINDULA;DEFERIDO;12;PDT;MASCULINO;BRANCA;S
ES;ESPÍRITO SANTO;DEPUTADO FEDERAL;80001620247;2710;PASTOR PEDRO HENRIQUE;DEFERIDO;27;DC;MASCULINO;PRETA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001609916;44000;DR BRUNO RESENDE;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001728665;65022;TONINHO PEREIRA;DEFERIDO;65;PC do B;MASCULINO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001602761;45999;THIAGO ROLDI;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001645489;20421;CIDA;DEFERIDO;20;PSC;FEMININO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001645476;20777;PR ADRIANO DA CAIOCAR;DEFERIDO;20;PSC;MASCULINO;PRETA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001647545;36100;TATIANA MAGESCH;DEFERIDO;36;AGIR;FEMININO;PARDA;N
ES;ESPÍRITO SANTO;DEPUTADO ESTADUAL;80001652600;55000;DAVI ESMAEL;DEFERIDO;55;PSD;MASCULINO;PARDA;N
