SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
GO;GOIÁS;DEPUTADO ESTADUAL;90001649519;13013;KÁTIA;DEFERIDO;13;PT;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001694941;1422;FABIM CAMINHONEIRO;DEFERIDO;14;PTB;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001712199;11500;OZAIR JOSE;DEFERIDO;11;PP;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001719530;33357;WENDER VEIM;INDEFERIDO COM RECURSO;33;PMN;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001653973;27145;SARGENTO SÉRVULO;DEFERIDO;27;DC;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001652506;2202;MEIRE CRUVINEL;DEFERIDO;22;PL;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001602725;19789;ELIEL JOSÉ;DEFERIDO;19;PODE;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001611912;12789;ENIO BRITO;DEFERIDO;12;PDT;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001695739;55666;IDEONI DAS MEIAS;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001700985;1155;NIXON DAS CASINHAS;DEFERIDO;11;PP;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001715450;9000;KARLÃO DO LEONARDO;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001712411;3333;DR. CEZAR;DEFERIDO;33;PMN;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001719535;33333;VINO CONFECÇÃO;DEFERIDO;33;PMN;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001653606;51300;MAICON DO POVO;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001614060;2020;DONA JACQUES;DEFERIDO;20;PSC;FEMININO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001675696;7714;EDIEL DUARTE;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PRETA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001647438;45745;JÚNIOR PINHEIRO;DEFERIDO;45;PSDB;FEMININO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001601542;3000;POLLY DO NOVO;DEFERIDO;30;NOVO;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001605428;40567;MARCOS FILHO;DEFERIDO;40;PSB;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001675314;50333;MARKÃO DO POVO;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001719506;33444;RAIMUNDO AGUIAR;DEFERIDO;33;PMN;MASCULINO;PRETA;N
GO;GOIÁS;VICE-GOVERNADOR;90001618705;30;JAMIL SAID;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001648408;44500;RENATO DE CASTRO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001715434;9090;DELEGADO EDUARDO RODOVALHO;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001643082;77010;DR DENY BRUCE;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PRETA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001675312;50127;SONILCE SANTOS;DEFERIDO;50;PSOL;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001644184;28132;PROFESSORA MOÊMIA;DEFERIDO;28;PRTB;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001614054;2001;ELIAS CORREIA;DEFERIDO;20;PSC;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001614637;36777;MARCIO DIVINO;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001652512;2227;CORONEL BENITO FRANCO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001647439;45234;WEMERSON RAIO DE SOL;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
GO;GOIÁS;SENADOR;90001609092;111;ALEXANDRE BALDY;DEFERIDO;11;PP;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001648407;44030;MARIA PÁSCOA;DEFERIDO;44;UNIÃO;FEMININO;AMARELA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001649524;13888;REGINALDO CONSTRUTOR;DEFERIDO;13;PT;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001719504;33100;ADRIANINHO;DEFERIDO;33;PMN;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001605407;40225;JANAINA ALMEIDA;DEFERIDO;40;PSB;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001651359;1007;ALISSON DIAS;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001605346;4077;WENNER PATRICK;DEFERIDO;40;PSB;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001674807;35222;GILMAR BACURI;DEFERIDO;35;PMB;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001644999;2825;CAMILA COSTA ;INDEFERIDO COM RECURSO;28;PRTB;FEMININO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001653798;22101;PROFESSORA LAIS;DEFERIDO;22;PL;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001725230;10987;GUSTAVO FELÍCIO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001614059;2033;VALERIANO ABREU;DEFERIDO;20;PSC;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001695164;14514;VILMA PAIVA;DEFERIDO;14;PTB;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001611923;12008;STHEFANIE CAMIE;DEFERIDO;12;PDT;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001621113;1509;TERESA RIBEIRO;DEFERIDO;15;MDB;FEMININO;BRANCA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001651352;1011;HILDO DO CANDANGO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001653178;15789;FRANCISCO OLIVEIRA;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
GO;GOIÁS;DEPUTADO FEDERAL;90001715445;9091;DAYANA MARTINS;DEFERIDO;90;PROS;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001650517;1202;PROFESSOR MOACIR;DEFERIDO;12;PDT;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001700980;1112;JULIO PASCHOAL;DEFERIDO;11;PP;MASCULINO;BRANCA;N
GO;GOIÁS;GOVERNADOR;90001651833;22;MAJOR VITOR HUGO;DEFERIDO;22;PL;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO FEDERAL;90001605343;4045;ZÉ CHAVEIRO;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001605399;40422;ALTAIR PEREIRA;DEFERIDO;40;PSB;MASCULINO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001712189;11441;ROSA CEKAY;RENÚNCIA;11;PP;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001695137;14414;THAYTA COSTA;DEFERIDO;14;PTB;FEMININO;PARDA;N
GO;GOIÁS;DEPUTADO ESTADUAL;90001648411;44123;TALLES BARRETO;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;S
