SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
MA;MARANHÃO;DEPUTADO ESTADUAL;100001675693;28790;HAMURABI;DEFERIDO;28;PRTB;MASCULINO;PRETA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001718927;1988;ZÉ ANTONIO;INDEFERIDO COM RECURSO;19;PODE;MASCULINO;PRETA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001614801;19112;RAIMUNDO SEREJO;INDEFERIDO;19;PODE;MASCULINO;PRETA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001618103;2333;PROFESSOR ROBERTO BRANDÃO;DEFERIDO;23;CIDADANIA;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001599559;90700;DORALICE;DEFERIDO;90;PROS;FEMININO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001613733;43433;ALONSO DA AGRICULTURA;DEFERIDO;43;PV;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001713833;1800;JANICELMA FERNANDES;DEFERIDO;18;REDE;FEMININO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001675673;28001;NENÉM DO POVÃO;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001608215;5151;MÁRCIO KIZOEIRA;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001608136;51100;DIEGO TWO;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001648827;1444;LUANA SANTOS;DEFERIDO;14;PTB;FEMININO;PRETA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001675684;28800;FILHO COQUEIRO;DEFERIDO;28;PRTB;MASCULINO;PRETA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001689538;36234;PROF CARLÃO AMÉRICO;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001608098;11000;HEMETERIO WEBA;DEFERIDO;11;PP;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001607095;55007;JAMES ONDA;INDEFERIDO COM RECURSO;55;PSD;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001607116;55333;PEDRO NERES;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001620087;20555;MARCIO GAIDO;DEFERIDO;20;PSC;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001599595;9007;ALEYGNAN LEAL;DEFERIDO;90;PROS;FEMININO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001615469;2002;TICIANE AMADINHA;DEFERIDO;20;PSC;FEMININO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001620093;20333;RICARDO MURAD;INDEFERIDO COM RECURSO;20;PSC;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001614810;19225;NONATO CUNHA;DEFERIDO;19;PODE;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001608124;51130;SHIRLEY JANE;DEFERIDO;51;PATRIOTA;FEMININO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001610547;4446;ALEX KENNEDY;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001601145;1220;ANALIDES;DEFERIDO;12;PDT;FEMININO;PRETA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001607488;44125;CLAUDIA MELO;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001608089;11225;PROF FRANCISCO GOMES;INDEFERIDO COM RECURSO;11;PP;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001723425;2822;NETYNHO DO CELULAR;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001613742;65222;MARCELO POETA;DEFERIDO;65;PC do B;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001713822;5088;HELYCOPY;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001689566;36236;MAURICIO DANTES;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001675691;28100;FRANCISCA COLETIVO TODOSJUNTOS;DEFERIDO;28;PRTB;FEMININO;PRETA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001603157;22133;DAVI ALVES SILVA JUNIOR;DEFERIDO;22;PL;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001607124;55025;FERNANDA ROCHA;RENÚNCIA;55;PSD;FEMININO;BRANCA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001610561;4410;JUSCELINO FILHO;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;S
MA;MARANHÃO;DEPUTADO FEDERAL;100001599074;1527;JUNIOR ARAÚJO;DEFERIDO;15;MDB;MASCULINO;PRETA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001733325;4343;YURI HENRIQUE;DEFERIDO;43;PV;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001608079;1110;DR MAGNO BACELAR;RENÚNCIA;11;PP;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001606620;15500;MARLEIDY BERNABÉ;DEFERIDO;15;MDB;FEMININO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001613726;13258;RAIMUNDO OLIVEIRA ;DEFERIDO;13;PT;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001713955;18018;ELANY ROSA TENTEHAR;DEFERIDO;18;REDE;FEMININO;INDÍGENA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001689558;36333;LINDAURA LUCENA;DEFERIDO;36;AGIR;FEMININO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001599552;90123;URIARLE CAMPOS;DEFERIDO;90;PROS;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001608073;1100;AMANDA GENTIL ;DEFERIDO;11;PP;FEMININO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001603106;2242;LUIZA DO FRIAGRO;DEFERIDO;22;PL;FEMININO;BRANCA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001602269;5525;PASTOR MARCOS AURÉLIO;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001613743;65555;MÁVIO ROCHA;DEFERIDO;65;PC do B;MASCULINO;PARDA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001723256;7031;IZAAC MATOS;INDEFERIDO COM RECURSO;70;AVANTE;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001599538;90777;PROFESSOR BROTHER;DEFERIDO;90;PROS;MASCULINO;PRETA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001732977;10010;MARISA ROSAS;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001606616;15123;MARCIO COUTINHO;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001638990;2775;HOLDEN ARRUDA;INDEFERIDO;27;DC;MASCULINO;BRANCA;N
MA;MARANHÃO;DEPUTADO FEDERAL;100001599087;1555;JOÃO MARCELO;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
MA;MARANHÃO;DEPUTADO FEDERAL;100001603101;2210;PROFESSOR EDVALDO SILVA;INDEFERIDO;22;PL;MASCULINO;PARDA;N
MA;MARANHÃO;SENADOR;100001713306;500;ANTONIA CARIONGO;DEFERIDO;50;PSOL;FEMININO;PRETA;N
MA;MARANHÃO;DEPUTADO ESTADUAL;100001619966;45359;ENFERMEIRO FLÁVIO;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
