SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001615193;1870;TÚLIO CÁRIA;DEFERIDO;18;REDE;MASCULINO;BRANCA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001645055;14345;CIDINHA DO SOCIAL;DEFERIDO;14;PTB;FEMININO;PARDA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001596333;51900;CHICRE ABUD;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001604378;55222;ANTÔNIO BELEZA;DEFERIDO;55;PSD;MASCULINO;PARDA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001598600;30007;SAMIRA OLIVEIRA;DEFERIDO;30;NOVO;FEMININO;BRANCA;N
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001668916;1530;HEDER LAFETÁ;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001612988;7751;JAQUELINE SEABRA;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001668936;1503;ATAÍDE TAIDIM;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001603560;7060;SARGENTO FERNANDO;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001696887;1210;IRANI DA CRUZ;DEFERIDO;12;PDT;FEMININO;PRETA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001607516;90777;LEANDRO ALMEIDA;DEFERIDO;90;PROS;MASCULINO;PARDA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001615643;11022;CLEBER BENFICA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001612977;7727;BEBEL DO MERCADO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PRETA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001634047;10567;PROFESSOR PAULO RAMOS;DEFERIDO;10;REPUBLICANOS;MASCULINO;PRETA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001605816;33200;PEDRINHO DO VALE;DEFERIDO;33;PMN;MASCULINO;PARDA;N
MG;MINAS GERAIS;DEPUTADO FEDERAL;130001610879;1493;VITHAO;DEFERIDO;14;PTB;MASCULINO;PRETA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001615614;11020;DIEGO ALVES;DEFERIDO;11;PP;MASCULINO;PARDA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001603665;70678;MARIO JORGE RIBEIRO;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
MG;MINAS GERAIS;DEPUTADO ESTADUAL;130001669305;35122;GENTILIN;DEFERIDO;35;PMB;MASCULINO;PARDA;N
