SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001609586;44666;ANTONIO ARAMONI;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001645381;11022;SARGENTO VIANA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;VICE-GOVERNADOR;120001606194;50;ILMO CANDIDO DE OLIVEIRA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;SENADOR;120001609096;444;MANDETTA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615768;19111;CORONEL GAUTO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001645383;11123;LONDRES MACHADO;DEFERIDO;MASCULINO;BRANCA;S
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001718590;9064;CAPITÃO AIRTON;DEFERIDO;MASCULINO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001675472;1477;DR ERNEY BARBOSA;INDEFERIDO COM RECURSO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001615738;2727;WANDERLEIA FERREIRA;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001652595;1331;VANDER LOUBET;DEFERIDO;MASCULINO;BRANCA;S
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001648881;90123;LUCIANO KERSTING GUGU;INDEFERIDO;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;Não divulgável
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651179;51888;LU MARTINS;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001597643;18333;EZEQUIAS ASSIS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615779;19800;MAURICIO CORRÊA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001648882;90000;CLAYTON SIQUEIRA;RENÚNCIA;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;Não divulgável
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001646499;28026;MARILZA BARCELOS;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001597624;50367;VALERIA-COLETIVO DE MULHERES ;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001613594;45463;LUIZ CARLOS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615765;19999;NINHO;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;GOVERNADOR;120001714229;28;CAPITÃO CONTAR;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001614730;22777;DAVI RIBEIRO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001615138;10717;ANDERSON GUIA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651183;51067;THULIO MAX;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;SENADOR;120001651640;111;TEREZA CRISTINA;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001614255;2244;DELEGADO WELLINGTON;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606651;12911;PAULO RIBEIRO DA SWAT;DEFERIDO;MASCULINO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001643165;15144;GENERAL ADALBERTO MUNIZ;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;SENADOR;120001596896;500;ANIZIO TOCCHIO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650945;55555;PROFESSORA ELZA FERNANDES;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001606660;12067;JEAN FERREIRA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001728627;11100;PEDRO MESSIAS;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001600670;7777;DENIS PEREIRA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636652;1555;CARLOS BERNARDO;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001609597;44022;DAVID VINCENSI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;2º SUPLENTE;120001651638;111;PAULO SALOMÃO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650949;55789;ROGÉRIO ROHR;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;GOVERNADOR;120001646278;15;ANDRÉ PUCCINELLI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001672856;70456;JU DO JD. PANTANAL;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001717695;90033;EMMILIM BLACK;DEFERIDO;FEMININO;PRETA;N
