SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
MT;MATO GROSSO;DEPUTADO FEDERAL;110001650730;7733;LUIZ AGUAIO;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001719787;13456;ELIANE XUNAKALO;DEFERIDO;13;PT;FEMININO;INDÍGENA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001620558;22220;POLICIALFEDERAL RAFAEL RANALLI;DEFERIDO;22;PL;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001643975;27044;SARAH;INDEFERIDO COM RECURSO;27;DC;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001675049;1303;PROFA FRANCISCA CHIQUINHA;DEFERIDO;13;PT;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001608794;50555;TÓ;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001618158;36036;MANOEL CAMPOS DO LAVA JATO;DEFERIDO;36;AGIR;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001595912;51135;DAMIANE LIMA;DEFERIDO;51;PATRIOTA;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635695;14000;CHICO GUARNIERI;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001623195;15777;MAURO SÉRGIO;DEFERIDO COM RECURSO;15;MDB;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001612765;2290;RODRIGO DA ZAELI;DEFERIDO;22;PL;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001620561;22002;PROFESSORA VÂNIA TRETTEL;DEFERIDO;22;PL;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001719779;13130;LÚDIO CABRAL;DEFERIDO;13;PT;MASCULINO;BRANCA;S
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635641;10033;CORONEL RIDALVA;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001601574;4080;DONA NEUMA;DEFERIDO;40;PSB;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001635789;1122;SIMONE LAURA;RENÚNCIA;11;PP;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001612763;2255;DR. ARAY FONSECA;DEFERIDO;22;PL;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001601897;9099;GEIZIANNE SILVA;DEFERIDO;90;PROS;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001595911;51077;EBENICE AMORIM;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001719773;13013;PROFESSOR HENRIQUE LOPES;DEFERIDO;13;PT;MASCULINO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635703;14400;DRA. FLAVIANE RAMALHO;DEFERIDO;14;PTB;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001655613;23123;OSMAR ISOTON;DEFERIDO;23;CIDADANIA;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635651;10192;DILMA CAMARGO;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001601894;9044;RAPHAEL BRUNINI;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001604411;19910;THAIS REGINA;INDEFERIDO;19;PODE;FEMININO;PARDA;N
MT;MATO GROSSO;SENADOR;110001643563;270;DR. JORGE YANAI;DEFERIDO;27;DC;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001643419;55999;PROFESSOR SIVIRINO;DEFERIDO;55;PSD;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001595930;51777;CORONEL SANDRO;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635701;14123;DRA. CLAUDIA LOPES;DEFERIDO;14;PTB;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001701683;55000;PASTOR JEFERSON;DEFERIDO;55;PSD;MASCULINO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001623182;15112;MARI SOUZA;RENÚNCIA;15;MDB;FEMININO;BRANCA;N
MT;MATO GROSSO;VICE-GOVERNADOR;110001719847;43;VANDERLUCIO RODRIGUES;DEFERIDO;11;PP;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001719641;1200;RODRIGO OLIVEIRA;INDEFERIDO COM RECURSO;12;PDT;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001655622;23999;PROF GILMAR MIRANDA;DEFERIDO;23;CIDADANIA;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001608797;50050;ELISÂNGELA RENASCER;DEFERIDO;50;PSOL;FEMININO;PARDA;N
MT;MATO GROSSO;1º SUPLENTE;110001608768;500;ENFERMEIRO VANDERLEY GUIA;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001618206;1412;ULYSSES MORAES;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001604414;19198;VALQUIRIA CATADORA;INDEFERIDO COM RECURSO;19;PODE;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635713;14333;CARLOS LONGO;INDEFERIDO COM RECURSO;14;PTB;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001719642;1234;ROBERTINO DA FARMÁCIA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001602927;51510;EDIFRANÇA TEIXEIRA;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001618188;1077;ERNANDO CARDOSO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001723672;12555;BRUNO BOTELHO;INDEFERIDO;12;PDT;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001618186;1051;ACACIO AMBROSINI;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001595924;51007;EUDES DO PASTEL;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001604918;40777;RONI MAGNANI;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001618159;36363;MARCIA NAZARÉ;INDEFERIDO;36;AGIR;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001719722;1800;NETE DO PASTEL;DEFERIDO;18;REDE;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001612774;4440;GISELA SIMONA;DEFERIDO;44;UNIÃO;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635694;14222;RONIE PETERSON;DEFERIDO;14;PTB;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001642977;3601;CLEBER ADORNO;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001635652;10191;EDIANA TANARA;DEFERIDO;10;REPUBLICANOS;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001612772;4410;MARCHIANE;DEFERIDO;44;UNIÃO;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001623297;1544;SARGENTO VIDAL;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001719770;13131;EDNA SAMPAIO;DEFERIDO;13;PT;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001623300;1555;EMANUELZINHO;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
MT;MATO GROSSO;DEPUTADO FEDERAL;110001655508;4553;THELMA OLIVEIRA;INDEFERIDO;45;PSDB;FEMININO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001595921;51000;PROFESSORA ADRIANA;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001604415;19191;INSPETOR ADRIANO CARVALHO;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001623296;1521;FLAVINHA;DEFERIDO;15;MDB;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001620550;22522;JADSON BARROS;DEFERIDO;22;PL;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001655601;23555;VALKIRIA BRANDÃO;DEFERIDO;23;CIDADANIA;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001612938;44000;GILBERTO FIGUEIREDO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001623293;1520;JUAREZ COSTA;DEFERIDO;15;MDB;MASCULINO;PARDA;S
MT;MATO GROSSO;DEPUTADO FEDERAL;110001601974;1911;DR MARCOS HARTER;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001719782;43456;ELENIR VALE VERDE;DEFERIDO;43;PV;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001650729;7775;FATIMA GUEDES;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001642979;3610;MARIA RITA;DEFERIDO;36;AGIR;FEMININO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001618157;36100;SANTEIRO;INDEFERIDO COM RECURSO;36;AGIR;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001601972;1920;LUCIEDER LUZ;DEFERIDO;19;PODE;MASCULINO;PRETA;N
MT;MATO GROSSO;DEPUTADO ESTADUAL;110001719786;13999;DR MARCOS MORAES;RENÚNCIA;13;PT;MASCULINO;PARDA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001593945;3030;GILBERTO GEREMIA;DEFERIDO;30;NOVO;MASCULINO;BRANCA;N
MT;MATO GROSSO;DEPUTADO FEDERAL;110001643693;2701;SIMONE;DEFERIDO;27;DC;FEMININO;BRANCA;N
