SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
PA;PARÁ;DEPUTADO ESTADUAL;140001600282;20222;ZE LINO;DEFERIDO;20;PSC;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001734084;14115;NIK PILOTO;DEFERIDO;14;PTB;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO FEDERAL;140001677532;3511;LINDABEL CAVALCANTE;DEFERIDO;35;PMB;FEMININO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001621052;12777;PIMENTEL;DEFERIDO;12;PDT;MASCULINO;PRETA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001611695;44123;ELIEL FAUSTINO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;S
PA;PARÁ;DEPUTADO FEDERAL;140001723489;9022;DR. ALEXANDRE;DEFERIDO;90;PROS;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001676627;13222;MILTON LOBO COLETIVO UNIDADE;DEFERIDO;13;PT;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO FEDERAL;140001651734;1999;ZÉ AUGUSTO;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001621044;12012;THIAGO REIS;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
PA;PARÁ;GOVERNADOR;140001721635;36;PAULO ROSEIRA;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001601784;22120;PASTORA AGRICOLA CARRERA;DEFERIDO;22;PL;FEMININO;PARDA;N
PA;PARÁ;DEPUTADO FEDERAL;140001604541;4420;EDSON BEZERRA;RENÚNCIA;44;UNIÃO;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001650082;55111;CESAR SARMENTO;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001676885;15333;CADU;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001611625;11207;MARY MARTINS;DEFERIDO;11;PP;FEMININO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001611691;44444;VICTOR DIAS;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;S
PA;PARÁ;DEPUTADO FEDERAL;140001725214;1933;CAROL CUNHA;DEFERIDO;19;PODE;FEMININO;BRANCA;N
PA;PARÁ;DEPUTADO FEDERAL;140001598313;2220;LEANDRO MARAMALDO;DEFERIDO;22;PL;MASCULINO;PRETA;N
PA;PARÁ;DEPUTADO FEDERAL;140001721313;2877;JOAO CORAGEM;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO FEDERAL;140001611716;1255;LOURDES FARIAS;DEFERIDO;12;PDT;FEMININO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001725226;77124;LEILA FERREIRA;INDEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001615523;45121;CORREIA;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001721460;36123;DOMINGAS NERIS;DEFERIDO;36;AGIR;FEMININO;PARDA;N
PA;PARÁ;DEPUTADO FEDERAL;140001620803;5511;PAULO PINHO;DEFERIDO;55;PSD;MASCULINO;PARDA;N
PA;PARÁ;GOVERNADOR;140001721685;77;MAJOR MARCONY;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001600291;20444;MILENA OLIVEIRA;DEFERIDO;20;PSC;FEMININO;PRETA;N
PA;PARÁ;DEPUTADO FEDERAL;140001611719;1234;MIRO SANOVA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001615544;45255;NARCISA MELO;RENÚNCIA;45;PSDB;FEMININO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001611068;40311;REINALDO SACOLA;DEFERIDO;40;PSB;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001601493;10147;ROSIVALDO BARBOSA;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001601788;22789;CLERIO CORREIA;DEFERIDO;22;PL;MASCULINO;PRETA;N
PA;PARÁ;DEPUTADO FEDERAL;140001598315;2277;SYGLEA VIEIRA;DEFERIDO;22;PL;FEMININO;PRETA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001651026;18001;CARMEM AMÉRICO;DEFERIDO;18;REDE;FEMININO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001611066;40013;AS MARAJOARAS ROSE FRANCIS LAU;DEFERIDO;40;PSB;FEMININO;PRETA;N
PA;PARÁ;DEPUTADO FEDERAL;140001615718;4567;MAURO FREITAS;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001723458;90190;SGT LUCIANO SILVA;DEFERIDO;90;PROS;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO FEDERAL;140001738352;4401;REVERENDO CESAR;PENDENTE DE JULGAMENTO;44;UNIÃO;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001600261;20000;DELEGADO TONI CUNHA;DEFERIDO;20;PSC;MASCULINO;PARDA;S
PA;PARÁ;DEPUTADO ESTADUAL;140001600260;20122;THOMAS PARAMBÚ;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001611696;44193;RUFINO BOMBEIRO;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO FEDERAL;140001721527;3622;PR LUCIANO FEITOSA;RENÚNCIA;36;AGIR;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001651432;19209;DIESSICA SILVA;DEFERIDO;19;PODE;FEMININO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001621098;20624;DEBORA ABELHA;DEFERIDO;20;PSC;FEMININO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001721202;28111;ABIMAEL SILVA;INDEFERIDO COM RECURSO;28;PRTB;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001600254;20331;PROF SILVIA;DEFERIDO;20;PSC;FEMININO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001651036;50963;JAIRO FERREIRA;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001676609;13011;ELIAS SANTIAGO;DEFERIDO;13;PT;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO FEDERAL;140001615569;1414;LOREDAN;DEFERIDO;14;PTB;MASCULINO;BRANCA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001677314;35444;PROF. JOÃO BATISTA MATOS;DEFERIDO;35;PMB;MASCULINO;PARDA;N
PA;PARÁ;DEPUTADO ESTADUAL;140001601807;22369;VIVIANE CUNHA;INDEFERIDO COM RECURSO;22;PL;FEMININO;BRANCA;N
