SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
PB;PARAÍBA;DEPUTADO ESTADUAL;150001620815;77333;JÁFIA NASCIMENTO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PRETA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001718116;15999;PASTOR MARINHO;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
PB;PARAÍBA;SENADOR;150001718245;290;MANOEL MESSIAS;INDEFERIDO COM RECURSO;29;PCO;MASCULINO;BRANCA;N
PB;PARAÍBA;VICE-GOVERNADOR;150001613756;40;LUCAS RIBEIRO;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001619556;1055;ALYSSON GOMES;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001619826;1477;CARLOS DORNELAS;DEFERIDO;14;PTB;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621601;27111;AILTON VIRIATO;DEFERIDO;27;DC;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621589;18678;SIMONE BRITO;DEFERIDO;18;REDE;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001718034;12123;BONIFÁCIO TAVARES;DEFERIDO;12;PDT;MASCULINO;PRETA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001620425;7777;GALEGA DO POVO;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001643198;13134;LEGAL;DEFERIDO;13;PT;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001728550;9016;MARIA DE FATIMA;DEFERIDO;90;PROS;FEMININO;PRETA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001619535;4343;JOYCE CALIXTO;DEFERIDO;43;PV;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001725964;22666;ROSA GUARDA;DEFERIDO;22;PL;FEMININO;BRANCA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001619546;1017;IARA CAETANO;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001718372;35330;THYAGO FARIAS;INDEFERIDO;35;PMB;MASCULINO;PRETA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621558;18168;JANE SANTOS;DEFERIDO;18;REDE;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001612080;2020;LÉO GADELHA;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001643210;65555;INÁCIO FALCÃO;DEFERIDO;65;PC do B;MASCULINO;PARDA;S
PB;PARAÍBA;DEPUTADO FEDERAL;150001723468;3535;DR EUFLAUZINO;INDEFERIDO;35;PMB;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001603122;44123;GEORGE MORAIS;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001718217;22777;CORONEL RAMALHO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621570;50111;GILSINHO FERREIRA;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621354;45444;SÉRGIO MAXIMO RUSSO;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001619550;1033;SILVIA DA PESCA;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001621615;2787;JENIFFER FELINTRO;DEFERIDO;27;DC;FEMININO;BRANCA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001643399;7000;RODRIGO ROLIM;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001603126;44156;KEURY ALMEIDA;DEFERIDO;44;UNIÃO;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001612074;1144;MERSINHO LUCENA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621383;45321;NICOLE D LAMARCK;DEFERIDO;45;PSDB;FEMININO;PRETA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001603127;44666;PIKENETE;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621613;27277;ONIETE DEMOLIDOR;DEFERIDO;27;DC;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001612085;2077;MARINA VENÂNCIO;DEFERIDO;20;PSC;FEMININO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001643200;13444;CABELINHO PORTO;DEFERIDO;13;PT;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001718122;1213;BETINHO DA RS;RENÚNCIA;12;PDT;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621556;18333;BIANCA QUILOMBOLA;DEFERIDO;18;REDE;FEMININO;PRETA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001718197;22522;TENENTE ROMANELLI;DEFERIDO;22;PL;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001619626;28122;WALKIRIA ROCHA ;DEFERIDO;28;PRTB;FEMININO;BRANCA;N
PB;PARAÍBA;VICE-GOVERNADOR;150001718243;29;JOSE PESSOA;DEFERIDO;29;PCO;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621667;40333;TIAO GOMES ;DEFERIDO;40;PSB;MASCULINO;PARDA;S
PB;PARAÍBA;VICE-GOVERNADOR;150001636463;28;DR. JOD CANDEIA;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001621679;4040;GERVASIO MAIA;DEFERIDO;40;PSB;MASCULINO;BRANCA;S
PB;PARAÍBA;DEPUTADO ESTADUAL;150001718366;35444;MARIA DO SOCORRO;INDEFERIDO;35;PMB;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001619534;4313;LUIZ MIGUEL;DEFERIDO;43;PV;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621361;45200;JANDUY FERREIRA;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001621539;1819;MARCELA;DEFERIDO;18;REDE;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001718090;15007;VALDENIA BEZERRA;DEFERIDO;15;MDB;FEMININO;BRANCA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001619571;10101;DELEGADO FRANCISCO AZEVEDO;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001621548;1888;LANA DANTAS;DEFERIDO;18;REDE;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001621555;50333;IVON DA BARRA;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001619564;10190;CAPITÃO ANTÔNIO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
PB;PARAÍBA;DEPUTADO ESTADUAL;150001603119;44888;VANDA DE OLAVO;DEFERIDO;44;UNIÃO;FEMININO;PARDA;N
PB;PARAÍBA;DEPUTADO FEDERAL;150001615550;9011;CHICO DE ALCIDES;RENÚNCIA;90;PROS;MASCULINO;PARDA;N
