SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
PI;PIAUÍ;DEPUTADO FEDERAL;180001643075;2311;CHICO PANÇA;DEFERIDO;23;CIDADANIA;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001602510;1147;GRAÇA AMORIM;DEFERIDO;11;PP;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605683;13121;DR. VINICIUS;DEFERIDO;13;PT;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001610945;11113;ZENAIDE FERREIRA;DEFERIDO;11;PP;FEMININO;BRANCA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001722397;36112;RUBEM MAGALHÃES MENESES;RENÚNCIA;36;AGIR;MASCULINO;BRANCA;N
PI;PIAUÍ;GOVERNADOR;180001613545;16;GERALDO CARVALHO;DEFERIDO;16;PSTU;MASCULINO;PRETA;N
PI;PIAUÍ;1º SUPLENTE;180001613585;166;ROMILDO ARAÚJO;DEFERIDO;16;PSTU;MASCULINO;PRETA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001604056;11444;TELMO NEVES;DEFERIDO;11;PP;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605687;13789;FIRMINO PAULO;DEFERIDO;13;PT;MASCULINO;PARDA;S
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605753;15190;SARGENTO MOTA;DEFERIDO;15;MDB;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001604051;11555;MARDEN MENEZES;DEFERIDO;11;PP;MASCULINO;PARDA;S
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605769;15199;DR PABLO SANTOS;DEFERIDO;15;MDB;MASCULINO;BRANCA;S
PI;PIAUÍ;DEPUTADO ESTADUAL;180001601316;77456;SCHEYVAN LIMA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001612883;10101;HEDILENE NASSIL;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
PI;PIAUÍ;2º SUPLENTE;180001605663;131;JOSE AMAURI;DEFERIDO;13;PT;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001738237;1899;LUH VIANA;AGUARDANDO JULGAMENTO;18;REDE;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001608715;12444;ORLANDO MATIAS;DEFERIDO;12;PDT;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001713650;51010;CLAUDIA BRAGA PROTETORA;DEFERIDO;51;PATRIOTA;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001714172;2019;ALMY ANDRADE;INDEFERIDO;20;PSC;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001601222;4411;JOAOZINHO DA UNIMAGEM;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001597437;3070;WILDERLANE NASCIMENTO;DEFERIDO;30;NOVO;FEMININO;BRANCA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001601325;77888;NAIANE GOMES;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001601324;77369;LUIS CABRAL;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001618283;1818;PEDRO ADONIAS;DEFERIDO;18;REDE;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001608999;2121;EDILENE PINHO;DEFERIDO;21;PCB;FEMININO;BRANCA;N
PI;PIAUÍ;VICE-GOVERNADOR;180001643493;51;PROFESSORA JÔ;RENÚNCIA;51;PATRIOTA;FEMININO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001602555;5565;MARQUINHOS CHAVES;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001601326;77222;ROKILAND;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001604034;1950;SARGENTO F. SILVA;DEFERIDO;19;PODE;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001602550;5525;CORONEL NIXON;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001608629;1244;COMENDADORA SAFIRA BRINGEL;DEFERIDO;12;PDT;FEMININO;PRETA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605684;13678;HELIO RODRIGUES;DEFERIDO;13;PT;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001604046;11200;IDONEIL MESQUITA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001601264;2222;DR LEONARDO EULÁLIO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001714177;2022;MARIA SOARES;INDEFERIDO;20;PSC;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605688;13300;ROSALINA;DEFERIDO;13;PT;FEMININO;PRETA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001714305;3322;TAÍS SOUSA;DEFERIDO;33;PMN;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001602554;5515;MARCOS AURELIO SAMPAIO;DEFERIDO;55;PSD;MASCULINO;BRANCA;S
PI;PIAUÍ;DEPUTADO ESTADUAL;180001612887;10171;CORONEL AVELAR;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
PI;PIAUÍ;VICE-GOVERNADOR;180001713461;29;RONALDO SOARES;RENÚNCIA;29;PCO;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001601292;22888;SOCORRO;DEFERIDO;22;PL;FEMININO;BRANCA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605758;15115;TELSIRIO ALENCAR;DEFERIDO;15;MDB;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605755;15456;NAIARA MORAES;DEFERIDO;15;MDB;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001713649;51123;FÁBIO FARIAS;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
PI;PIAUÍ;VICE-GOVERNADOR;180001604028;13;THEMISTOCLES FILHO;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001601340;7776;ROBERTO SILVA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001604048;11567;PÁDUA ARAUJO;DEFERIDO;11;PP;MASCULINO;BRANCA;N
PI;PIAUÍ;DEPUTADO FEDERAL;180001601256;2277;DRA HELIDA MILANEZ;DEFERIDO;22;PL;FEMININO;PARDA;N
PI;PIAUÍ;DEPUTADO ESTADUAL;180001605668;13888;RUBENS VIEIRA;DEFERIDO;13;PT;MASCULINO;PARDA;N
