SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001652756;16123;LUCIANA LIMA;DEFERIDO;16;PSTU;FEMININO;PARDA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001618070;35444;PROFESSOR LUIS CARLOS;DEFERIDO;35;PMB;MASCULINO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001602999;2238;SARGENTO GONÇALVES;DEFERIDO;22;PL;MASCULINO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001600540;1170;KARLA VERUSKA;DEFERIDO;11;PP;FEMININO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001604201;77421;LILIA SALDANHA;DEFERIDO;77;SOLIDARIEDADE;FEMININO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001667347;5151;RODRIGO BEZERRA;DEFERIDO;51;PATRIOTA;MASCULINO;PRETA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001669249;28123;DAMIÃO ANDRADE;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001603615;13113;ELIANE BANDEIRA;DEFERIDO;13;PT;FEMININO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001608784;33888;IZABEL CRISTINA;DEFERIDO;33;PMN;FEMININO;PARDA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001732932;10444;FABIOLA ALCANTARA;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
RN;RIO GRANDE DO NORTE;GOVERNADOR;200001696301;19;CAPITÃO STYVENSON;DEFERIDO;19;PODE;MASCULINO;PARDA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001604688;22522;GILDETE PINHEIRO;DEFERIDO;22;PL;FEMININO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001608787;33789;SANDRA;DEFERIDO;33;PMN;FEMININO;PARDA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001603626;13123;ISOLDA DANTAS;DEFERIDO;13;PT;FEMININO;BRANCA;S
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001620537;4570;DR ESTÁCIO;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001620408;2010;ROSA GUERREIRA;DEFERIDO;20;PSC;FEMININO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001608805;4444;BENES LEOCÁDIO;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;S
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001598465;5522;OZEIAS DE PAULA;DEFERIDO;55;PSD;MASCULINO;PARDA;N
RN;RIO GRANDE DO NORTE;2º SUPLENTE;200001652248;166;GABRIEL DA COSTA;DEFERIDO;16;PSTU;MASCULINO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001604169;70700;IRMÃ EDILMA;DEFERIDO;70;AVANTE;FEMININO;PRETA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001603622;65777;JULIA ARRUDA;DEFERIDO;65;PC do B;FEMININO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001647096;1414;VALMIR JUNIOR;DEFERIDO;14;PTB;MASCULINO;PARDA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001667537;12444;REI POP;DEFERIDO;12;PDT;MASCULINO;PRETA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001605998;45123;TOMBA FARIAS;DEFERIDO;45;PSDB;MASCULINO;BRANCA;S
RN;RIO GRANDE DO NORTE;DEPUTADO FEDERAL;200001647089;1911;GILSON VERAS;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
RN;RIO GRANDE DO NORTE;DEPUTADO ESTADUAL;200001613927;10003;MISSIONÁRIO ASSUERO TINDÔ;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
