SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001600363;14123;EDVALDO SOARES;DEFERIDO;14;PTB;MASCULINO;PARDA;N
RO;RONDÔNIA;DEPUTADO FEDERAL;220001621853;5013;GENECI GONÇALVES;DEFERIDO;50;PSOL;MASCULINO;PRETA;N
RO;RONDÔNIA;2º SUPLENTE;220001713730;222;DHEEP ROVER;DEFERIDO;22;PL;MASCULINO;BRANCA;N
RO;RONDÔNIA;DEPUTADO FEDERAL;220001643596;2240;DRA KARLA NOCRATO LOIOLA;DEFERIDO;22;PL;FEMININO;BRANCA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001713738;22001;ROSE QUEIROZ;DEFERIDO;22;PL;FEMININO;PARDA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001614429;51429;NEGO DO AGRO;RENÚNCIA;51;PATRIOTA;MASCULINO;BRANCA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001615042;45123;DR LUIZ FERRARI;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001609494;15111;JEFERSON SILVA;DEFERIDO;15;MDB;MASCULINO;PRETA;N
RO;RONDÔNIA;DEPUTADO FEDERAL;220001635096;5500;MAJOR R SILVA;DEFERIDO;55;PSD;MASCULINO;PARDA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001600367;14235;NICE VITOR;RENÚNCIA;14;PTB;FEMININO;PRETA;N
RO;RONDÔNIA;DEPUTADO FEDERAL;220001605557;4455;WIVESLANDO NEIVA;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001713758;22700;LINDA CRUZ;DEFERIDO;22;PL;FEMININO;PARDA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001713573;12333;CELSINHO;RENÚNCIA;12;PDT;MASCULINO;PRETA;N
RO;RONDÔNIA;DEPUTADO ESTADUAL;220001723690;36090;MARNIZIA;DEFERIDO;36;AGIR;FEMININO;PARDA;N
RO;RONDÔNIA;DEPUTADO FEDERAL;220001713914;3677;ANDRÉIA CORDEIRO;DEFERIDO;36;AGIR;FEMININO;BRANCA;N
