SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RR;RORAIMA;DEPUTADO ESTADUAL;230001604219;40144;LILIANE BASTOS;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604236;11022;CAETANO NETO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001610929;13139;CIDA DE MEDEIROS;INDEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600116;3522;JHONATAN CALEL;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001643508;77888;TAMACHI NAKAZAKI;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001642281;23222;JACILDO BEZERRA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001604234;1122;DEILSON BOLSONARO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001611103;5122;BRAZ;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600106;1000;GABRIEL MOTA;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602224;28156;NEILA FRAZÃO;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001605881;19999;DR ALEXANDRE SALOMÃO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611083;33332;MARIÂNGELA MARINH;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001611098;5107;LACERDA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600083;90678;PEDRO COELHO;RENÚNCIA;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604244;11233;GAÚCHO NA FROTEIRA;INDEFERIDO COM RECURSO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611074;33174;POTIGUARA;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602234;55000;ABEL GALINHA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600077;90777;ADRIANA GARIMPEIRA;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001671305;14111;JANE ARTESA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604214;40133;FRANCISCO ELESBÃO;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001605879;19019;WESLY MONTELES;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;GOVERNADOR;230001602186;15;TERESA SURITA;DEFERIDO COM RECURSO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604220;40456;SEU RAIMUNDO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001611110;51234;MISSIONÁRIO SANDRO GADITA;INDEFERIDO COM RECURSO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001595298;44441;BARBEIRO LEO MIGUINS;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600132;35147;ÂNGELA VIDAL;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600136;35555;EDIVAN SILVA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001604226;1100;DELEGADO FRANCISCO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001613692;2710;MARIA DA SILVA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600052;10223;ELITON ARAUJO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600181;20888;EV. ADENILSON OLIVEIRA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001610930;43200;BETÂNIA ALMEIDA;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600137;35345;GORETE LICÁ;DEFERIDO;FEMININO;PRETA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001610806;1813;PROFESSORA DRA ANTONIA COSTA;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;VICE-GOVERNADOR;230001670968;12;PSICÓLOGA LIA MICHELLI;DEFERIDO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602248;55192;DR WESLEY THOMÉ;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;1º SUPLENTE;230001600039;903;MARCUS HOLANDA;RENÚNCIA;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602832;15156;ZÉLIO MOTA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;GOVERNADOR;230001610641;50;FÁBIO ALMEIDA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001595291;44111;DR CLAUDIO CIRURGIÃO;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001604237;11011;PALMIRA LEÃO PROTETORA;DEFERIDO;FEMININO;BRANCA;N
