SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001679648;13987;PADRE PEDRO;DEFERIDO;13;PT;MASCULINO;BRANCA;S
SC;SANTA CATARINA;VICE-GOVERNADOR;240001611132;44;ERON GIORDANI;CANCELADO;44;UNIÃO;MASCULINO;BRANCA;N
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001723747;51131;MARINA SORRENTINO;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001616188;44244;SANDRO FORTES;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001614325;22345;ALEMÃOZINHO - CLAUDIR HENZ;DEFERIDO;22;PL;MASCULINO;BRANCA;N
SC;SANTA CATARINA;DEPUTADO FEDERAL;240001610848;1995;KARINE;DEFERIDO;19;PODE;FEMININO;BRANCA;N
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001679651;13000;RODRIGO DE OLIVEIRA;DEFERIDO;13;PT;MASCULINO;BRANCA;N
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001616202;44200;EZEQUIEL DE SOUZA;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
SC;SANTA CATARINA;DEPUTADO FEDERAL;240001602988;7099;SADI;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
SC;SANTA CATARINA;DEPUTADO FEDERAL;240001610244;1017;DRA. CYNTHIA ETCHANDY;DEFERIDO;10;REPUBLICANOS;FEMININO;BRANCA;N
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001616207;44017;IVAN DA LUZ;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
SC;SANTA CATARINA;DEPUTADO ESTADUAL;240001610824;19010;PAULINHA;DEFERIDO;19;PODE;FEMININO;BRANCA;S
