SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
SE;SERGIPE;DEPUTADO ESTADUAL;260001712259;22666;GIVALDO GARÇÃO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001728382;33400;TIA LÚ;DEFERIDO;33;PMN;FEMININO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001618236;10333;FABIO DE DR JUNIOR CHAGAS;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001644224;11333;ANDRÉA TENENTE MIGUEZ;DEFERIDO;11;PP;FEMININO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001646924;44000;MISAEL DANTAS;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
SE;SERGIPE;2º SUPLENTE;260001666589;404;EMANUEL OLIVEIRA;DEFERIDO;43;PV;MASCULINO;BRANCA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001618239;10190;TEN CORONEL TOTA;DEFERIDO;10;REPUBLICANOS;MASCULINO;PRETA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001646919;44321;JUNIOR VALADARES;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001738593;80123;MARA MULHERES ANTIFA;INDEFERIDO COM RECURSO;80;UP;FEMININO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001731741;55255;VAL;DEFERIDO;55;PSD;FEMININO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001646659;27555;ALFANINA;DEFERIDO;27;DC;FEMININO;BRANCA;N
SE;SERGIPE;DEPUTADO FEDERAL;260001636665;5012;DIMAS CORRETOR;DEFERIDO;50;PSOL;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO FEDERAL;260001602622;1910;CHINA DA BORRACHARIA;DEFERIDO;19;PODE;MASCULINO;PRETA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001669084;40369;MIGUEL REAL;DEFERIDO;40;PSB;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO FEDERAL;260001633059;1199;CORAÇÃO VALENTE;DEFERIDO;11;PP;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001644522;15193;NEYME MATEUS;DEFERIDO;15;MDB;MASCULINO;PARDA;N
SE;SERGIPE;1º SUPLENTE;260001732745;161;PAULO;DEFERIDO;16;PSTU;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001712731;51555;JP;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO FEDERAL;260001711986;2929;IUÇARA PEREIRA;INDEFERIDO;29;PCO;FEMININO;AMARELA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001669431;12111;GARIBALDE;DEFERIDO;12;PDT;MASCULINO;BRANCA;S
SE;SERGIPE;DEPUTADO ESTADUAL;260001711842;14444;PASTOR ALLYSON O SONHADOR;DEFERIDO;14;PTB;MASCULINO;PRETA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001668321;13113;ENG PROF ULYSSES CRUZ;DEFERIDO;13;PT;MASCULINO;BRANCA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001669094;40134;IOLANDA DE PORFIRIO;INDEFERIDO;40;PSB;FEMININO;BRANCA;N
SE;SERGIPE;VICE-GOVERNADOR;260001738721;16;CARLOS DOS SANTOS;PENDENTE DE JULGAMENTO;16;PSTU;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001692883;90333;RICARDINHO LABAFERO;DEFERIDO;90;PROS;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001712256;22100;ITAMAR ALVES;DEFERIDO;22;PL;MASCULINO;PRETA;N
SE;SERGIPE;DEPUTADO FEDERAL;260001602621;1911;DRA LAZARA;DEFERIDO;19;PODE;FEMININO;BRANCA;N
SE;SERGIPE;DEPUTADO FEDERAL;260001691565;3344;SANDRA LIMA;DEFERIDO;33;PMN;FEMININO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001691819;33456;GEOVANIO CELESTINO;DEFERIDO;33;PMN;MASCULINO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001737728;80000;RODRIGO CERQUEIRA;INDEFERIDO COM RECURSO;80;UP;MASCULINO;PRETA;N
SE;SERGIPE;DEPUTADO FEDERAL;260001668630;4013;TATHIANE ARAUJO;DEFERIDO;40;PSB;FEMININO;BRANCA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001646923;44577;PASTORA MARLETE;DEFERIDO;44;UNIÃO;FEMININO;PARDA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001644236;11007;JETER ANDRADE;DEFERIDO;11;PP;MASCULINO;BRANCA;N
SE;SERGIPE;DEPUTADO ESTADUAL;260001668318;13999;CLARA SUKITA;DEFERIDO;13;PT;FEMININO;PARDA;N
