SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
SP;SÃO PAULO;DEPUTADO FEDERAL;250001610320;1973;CLEBER ARAÚJO PROF;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001642200;35121;BAIXINHO BARBEIRO;DEFERIDO;35;PMB;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001642205;35822;ANA MELO;DEFERIDO;35;PMB;FEMININO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001639599;10196;DRA MAYRA;DEFERIDO;10;REPUBLICANOS;FEMININO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001611269;1516;DANIEL FARIA;DEFERIDO;15;MDB;MASCULINO;PRETA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001721337;36125;CICERO LIMA;INDEFERIDO COM RECURSO;36;AGIR;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001622077;7056;GEFFERSON LUIS;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001606237;77222;LUCIANO BATISTA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001715847;2898;ZÉ DO BODE;INDEFERIDO;28;PRTB;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001643767;20015;ELIANE SANTANA;DEFERIDO;20;PSC;FEMININO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001715880;2891;LEANDRO VERONEZ;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001611751;65789;RENÊ;DEFERIDO;65;PC do B;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001620759;5119;MICHEL FIGUEREDO;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001643284;33133;ALE VECCHIO;DEFERIDO;33;PMN;FEMININO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001604874;1449;VAGNER BERTI;DEFERIDO;14;PTB;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001611472;45800;MARKINHO SOUZA;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001611804;13301;ROMILDO ANTONIO;DEFERIDO;13;PT;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001621402;51222;SANDRA DELMIRO;DEFERIDO;51;PATRIOTA;FEMININO;PRETA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001738743;43343;LUIZA FERNANDES;AGUARDANDO JULGAMENTO;43;PV;FEMININO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001610126;22422;PAULO MANSUR;DEFERIDO;22;PL;MASCULINO;BRANCA;N
SP;SÃO PAULO;VICE-GOVERNADOR;250001615968;10;FELICIO RAMUTH;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001643833;20520;FERNANDO GARCIA;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001717159;3618;DJ WIL;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001597776;30878;MARCIO ANTONI;DEFERIDO;30;NOVO;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001620599;40211;DR VALDOMIRO LOPES;AGUARDANDO JULGAMENTO;40;PSB;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001604830;1424;PROFESSORA DAISE;DEFERIDO;14;PTB;FEMININO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001610169;22030;JOÃO CÉSAR;DEFERIDO;22;PL;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001610291;1997;MARCUS DANTAS;DEFERIDO;19;PODE;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001611988;1165;KINHO DA ESTRADA;DEFERIDO;11;PP;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001621439;51777;CLEBER BROCH;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001643898;2022;GUIGA PEIXOTO;DEFERIDO;20;PSC;MASCULINO;BRANCA;S
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001621436;51533;ALEX FERNANDES ;DEFERIDO;51;PATRIOTA;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001611441;45059;PARRON;DEFERIDO;45;PSDB;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001643772;20133;EDIVALDO MEIRA - BATORÉ;DEFERIDO;20;PSC;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001604836;1407;SELMA DANTAS;DEFERIDO;14;PTB;FEMININO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001620607;40200;LUIZ LEMOS;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001677897;9040;JANAINA SOARES;DEFERIDO;90;PROS;FEMININO;PRETA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001610290;1964;CORONEL STANELIS;DEFERIDO;19;PODE;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001620733;5131;PROFESSOR TIAGO LIRA;DEFERIDO;51;PATRIOTA;MASCULINO;PRETA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001642229;35191;NETO;DEFERIDO;35;PMB;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001643720;1233;HEITOR ALVES;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001620648;40240;PROF. JOCELY;DEFERIDO;40;PSB;FEMININO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001613965;3319;DOUTOR CAMPOS;DEFERIDO;33;PMN;MASCULINO;PARDA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001613970;3312;PASTORA CIDA TUTIA;DEFERIDO;33;PMN;FEMININO;BRANCA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001621720;70470;WALNEY ARAUJO;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001717138;3699;TONINHO TONINI;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001717150;3671;RICARDO ANDRADE;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001700018;2959;IZADORA DIAS;DEFERIDO;29;PCO;FEMININO;PRETA;N
SP;SÃO PAULO;DEPUTADO FEDERAL;250001610311;1992;RENATA MELLO POKAS;DEFERIDO;19;PODE;FEMININO;PARDA;N
SP;SÃO PAULO;DEPUTADO ESTADUAL;250001602169;44122;ALDO DEMARCHI;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;S
SP;SÃO PAULO;DEPUTADO FEDERAL;250001611354;2282;BRUXÃO CAVANHA;DEFERIDO;22;PL;MASCULINO;BRANCA;N
