SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643136;23400;WENDEL GOMIDES;DEFERIDO;23;CIDADANIA;MASCULINO;PARDA;N
TO;TOCANTINS;VICE-GOVERNADOR;270001649555;22;FREIRE JUNIOR;DEFERIDO;15;MDB;MASCULINO;BRANCA;N
TO;TOCANTINS;VICE-GOVERNADOR;270001735051;29;ANTONIA COSTA;INDEFERIDO COM RECURSO;29;PCO;MASCULINO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001713231;35444;NEUTON DA SEMENTE;DEFERIDO;35;PMB;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001654150;10333;ISSAM SAADO;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;S
TO;TOCANTINS;DEPUTADO ESTADUAL;270001700090;15007;DENIZE DE FREITAS;DEFERIDO;15;MDB;FEMININO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001700094;15020;LIVIA MARTINS;DEFERIDO;15;MDB;FEMININO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001697336;55900;DILMA SOBRINHO;DEFERIDO;55;PSD;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001649249;5011;CHARLEIDE MATOS;DEFERIDO;50;PSOL;FEMININO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643567;22321;JOAQUIM MAIA;DEFERIDO;22;PL;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001700072;1542;PROFESSORA EVA LIMA;DEFERIDO;15;MDB;FEMININO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001615108;51200;PAULINO TERRA BOA;DEFERIDO;51;PATRIOTA;MASCULINO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001700083;15600;SILVANA MODAS;DEFERIDO;15;MDB;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001697219;12333;ZEZÉ;DEFERIDO;12;PDT;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001615115;51281;THIAGO LOIOLA;INDEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001672844;20200;ROBERLAN COKIM;DEFERIDO;20;PSC;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643150;45500;LAERCIO GAIA;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001697203;12321;SANDRA SULINO;DEFERIDO;12;PDT;FEMININO;PRETA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001727608;4022;SARGENTO GEAN;DEFERIDO;40;PSB;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001642303;1988;TIAGO DIMAS;DEFERIDO;19;PODE;MASCULINO;BRANCA;S
TO;TOCANTINS;GOVERNADOR;270001697127;55;IRAJÁ;DEFERIDO;55;PSD;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643588;19222;EMÍLIO RODRIGUES;RENÚNCIA;19;PODE;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001643929;4500;MAJOR NEGREIROS;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001675939;14014;SOLANGE MARTINS;DEFERIDO;14;PTB;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643581;22333;EVERALDO BENVINDO;DEFERIDO;22;PL;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001651886;77000;MILENA AIRES;DEFERIDO;77;SOLIDARIEDADE;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001654148;10123;PASTOR WELLINGTON;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001676105;40000;MAURO LACERDA;DEFERIDO;40;PSB;MASCULINO;PARDA;N
TO;TOCANTINS;GOVERNADOR;270001649556;22;RONALDO DIMAS;DEFERIDO;22;PL;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001643410;1121;J CUNHA;DEFERIDO;11;PP;MASCULINO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643222;50000;GABRIELA RAIA;DEFERIDO;50;PSOL;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001697324;55123;TERCILIANO GOMES;DEFERIDO;55;PSD;MASCULINO;PRETA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001654163;1020;SARGENTO JOAO VICTOR;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001676101;40222;MARIA XAVIER;DEFERIDO;40;PSB;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001654154;10010;VALDEMAR JUNIOR;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;S
TO;TOCANTINS;DEPUTADO FEDERAL;270001643521;4456;YGOR CORTEZ;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643223;50555;PROFESSOR EDERVAL;DEFERIDO;50;PSOL;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001713235;2828;EUDES RIBEIRO;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001713303;2750;IVONETE;INDEFERIDO COM RECURSO;27;DC;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643585;22123;PROFESSORA JANAD VALCARI;DEFERIDO;22;PL;FEMININO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001739227;15200;THALITA RIBEIRO;PENDENTE DE JULGAMENTO;15;MDB;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001620113;43500;PROFESSOR NETO CAVALHEIRO;DEFERIDO;43;PV;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001700712;28001;SERJÃO;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643152;45022;KASSYO FERNANDO;DEFERIDO;45;PSDB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001700730;28999;TIAGO SOARES SILVA;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001672838;20500;GRACIANE ROCHA;DEFERIDO;20;PSC;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001728073;6500;TÔIN DE XICA ;DEFERIDO;65;PC do B;MASCULINO;PRETA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001615112;51111;THIAGO PAULINO;DEFERIDO;51;PATRIOTA;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001713229;35222;POLLYANNA NOLETO;DEFERIDO;35;PMB;FEMININO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001697199;12211;KURICA;DEFERIDO;12;PDT;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001675935;14200;PROF JOZUÉ;DEFERIDO;14;PTB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001612028;1325;ZÊNIS DE AQUINO;DEFERIDO;13;PT;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001700713;28002;ADRIANO IMPORTADOS;DEFERIDO;28;PRTB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001643553;2222;FILIPE MARTINS;DEFERIDO;22;PL;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001675997;1463;LILI BEZERRA JUNTAS POR TOCANT;DEFERIDO;14;PTB;FEMININO;BRANCA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001697135;1210;DJACY ALMEIDA;DEFERIDO;12;PDT;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001643537;44111;PROFESSOR DJALMA ARAUJO;DEFERIDO;44;UNIÃO;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001675993;1414;DIOGO FERNANDES;DEFERIDO;14;PTB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001675936;14333;ALEXANDRO RIBEIRO;DEFERIDO;14;PTB;MASCULINO;PARDA;N
TO;TOCANTINS;DEPUTADO FEDERAL;270001643930;4560;VALTONIA;DEFERIDO;45;PSDB;FEMININO;PARDA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001620127;13111;PROF RUBENS;DEFERIDO;13;PT;MASCULINO;BRANCA;N
TO;TOCANTINS;DEPUTADO ESTADUAL;270001672845;20020;PROFESSOR JUNIOR GEO;DEFERIDO;20;PSC;MASCULINO;PARDA;S
