SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001640597;1282;DANNY BABALU;DEFERIDO;12;PDT;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001603427;5520;RENATA MAGALHÃES;DEFERIDO;55;PSD;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001640598;1224;STELLA GAIO;DEFERIDO;12;PDT;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001596804;2200;DRA LETÍCIA COSTA;DEFERIDO;22;PL;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001601403;77045;ROGÉRIO DA CADEIRA DE RODA;DEFERIDO;77;SOLIDARIEDADE;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001644984;1569;JORGE ABREU;DEFERIDO;15;MDB;MASCULINO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001603247;14017;MARCELO DO SHOFAR;DEFERIDO;14;PTB;MASCULINO;NÃO INFORMADO;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001613869;33410;KELI SANTOS;INDEFERIDO COM RECURSO;33;PMN;FEMININO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001603421;5556;FATINHA;DEFERIDO;55;PSD;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001723530;3595;PROFESSORA SIRLEI;DEFERIDO;35;PMB;FEMININO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001609828;70134;MÁRCIO FERREIRA;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001716418;36987;MARIOZAM;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001644971;1572;PROFESSORA LUCIANA;DEFERIDO;15;MDB;FEMININO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001598389;30130;DAYSE PENNA;DEFERIDO;30;NOVO;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001723130;35100;BENJAMIN BERECO;DEFERIDO;35;PMB;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001609723;7071;JOSEF GERSTEL;DEFERIDO;70;AVANTE;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001640611;1221;OKINGA;DEFERIDO;12;PDT;MASCULINO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001716421;36543;RODRIGO FARIAS;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001649600;51889;BRUNA VIEIRA;DEFERIDO;51;PATRIOTA;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001645275;28022;BRUNO MARINI;DEFERIDO;28;PRTB;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;1º SUPLENTE;190001714689;211;MARTA BARÇANTE;DEFERIDO;21;PCB;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001639031;20456;EVANDRO HILÁRIO;DEFERIDO;20;PSC;MASCULINO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001722052;27969;PAULINHO DE JONAS;DEFERIDO;27;DC;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001722034;27888;PROF LEANDRO CHUPETA;DEFERIDO;27;DC;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001645252;28054;SUELLEN CRUZ;DEFERIDO;28;PRTB;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001723147;35999;LENA S HAIR;DEFERIDO;35;PMB;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001620533;65650;LEONARDO GIORDANO;DEFERIDO;65;PC do B;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001603075;1467;CHARLES ADVENTE;DEFERIDO;14;PTB;MASCULINO;NÃO INFORMADO;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001639116;40123;ALUIZIO JUNIOR;DEFERIDO;40;PSB;MASCULINO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001645647;15233;VAGNER MACHADO;DEFERIDO;15;MDB;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001645308;28954;MARCOS VINICIUS SOUZA;PEDIDO NÃO CONHECIDO;28;PRTB;MASCULINO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001654237;12336;LUZIENE QUEIROZ;DEFERIDO;12;PDT;FEMININO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001729665;1292;CLAUDIO LUIZ;INDEFERIDO COM RECURSO;12;PDT;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001609787;70767;PADRINHO;DEFERIDO;70;AVANTE;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001738867;2282;ROBERTO MONTEIRO PAI;PENDENTE DE JULGAMENTO;22;PL;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001645303;28008;ALEXANDRA LARENA;INDEFERIDO COM RECURSO;28;PRTB;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001640594;1288;PATRICIA CARDOSO;DEFERIDO;12;PDT;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001722058;27061;ALEXANDRE FRANÇA;DEFERIDO;27;DC;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001605580;1111;JULIO LOPES;DEFERIDO;11;PP;MASCULINO;BRANCA;S
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001645635;15115;DRA TÁRCIA ALENCAR;DEFERIDO;15;MDB;FEMININO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001722036;27333;MARCOS FELICIDADE;DEFERIDO;27;DC;MASCULINO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001638483;10023;PASTOR HELERSON DANIEL ;DEFERIDO;10;REPUBLICANOS;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001619232;4310;SHEILA ARÃO;DEFERIDO;43;PV;FEMININO;PRETA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001735522;33144;CLAUDINHA ENFERMEIRA;DEFERIDO;33;PMN;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001620502;13513;BERRIEL;DEFERIDO;13;PT;MASCULINO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001644790;1016;EDUARDO TORRES;DEFERIDO;10;REPUBLICANOS;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001639112;2803;MISSIONÁRIA ZULEIDE;DEFERIDO;28;PRTB;FEMININO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001714943;3608;FERNANDO FREITAS;DEFERIDO;36;AGIR;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001615323;45055;LILI SOLDADORA;DEFERIDO;45;PSDB;FEMININO;PARDA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001603405;5533;ZAQUEU TEIXEIRA;DEFERIDO;55;PSD;MASCULINO;BRANCA;N
RJ;RIO DE JANEIRO;DEPUTADO FEDERAL;190001603069;1401;CAPITÃ BRASIL;DEFERIDO;14;PTB;FEMININO;NÃO INFORMADO;N
RJ;RIO DE JANEIRO;DEPUTADO ESTADUAL;190001619430;44156;RODRIGO XUXA;DEFERIDO;44;UNIÃO;MASCULINO;BRANCA;N
